fiscal_year,primary_deficit_billions,cbo_net_interest_outlays_billions,total_deficit_billions,other_financing_adjustment_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,cbo_average_debt_interest_rate,end_of_fiscal_year_gdp_billions_saar
2025,805.432,969.938,1775.37,201.47,30172.402,0.99375,0.03383,30362.165534591193
2026,813.727,1038.976,1852.703,70.06,32095.165,1.00605,0.03404,31902.156950449775
2027,779.488,1107.715,1887.203,22.152,34004.52,1.02069,0.0341,33315.22793404461
2028,861.834,1217.824,2079.658,8.567,36092.745,1.04116,0.03526,34665.896692151066
2029,695.219,1324.496,2019.715,-9.703,38102.757,1.05811,0.03616,36010.2040430579
2030,768.806,1431.836,2200.642,-23.76,40279.639,1.0772599999999999,0.03692,37390.8239422238
2031,737.312,1548.383,2285.695,-36.998,42528.336,1.0957299999999999,0.03775,38812.78782181742
2032,768.971,1670.447,2439.418,-45.264,44922.49,1.11535,0.03852,40276.58582507732
2033,996.371,1784.364,2780.735,-59.038,47644.187,1.13992,0.03881,41796.07954944206
2034,914.749,1903.751,2818.5,-68.834,50393.853,1.1618600000000001,0.03904,43373.42967311035
2035,759.962,2019.072,2779.034,-69.664,53103.223,1.17977,0.03919,45011.50478483094
2036,971.051,2144.336,3115.387,-66.219,56152.391,1.20209,0.03939,46712.301907511086
