fiscal_year,primary_deficit_billions,cbo_net_interest_outlays_billions,total_deficit_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,end_of_fiscal_year_gdp_billions_saar
2026,813.82002,1039.04814,1852.54914,32095.007100000003,1.00605,31902.0
2027,779.5709999999999,1107.72375,1887.29475,34004.287350000006,1.02069,33315.0
2028,738.3858,1217.8165800000002,1956.20238,36092.85256,1.04116,34666.0
2029,818.8674,1324.4478,2143.3152,38102.5411,1.05811,36010.0
2030,768.7589600000001,1431.7013900000002,2200.83426,40279.82866,1.0772599999999999,37391.0
2031,737.447,1548.2505700000002,2285.6975700000003,42528.56849,1.0957299999999999,38813.0
2032,768.88793,1670.28719,2439.57789,44922.95195,1.11535,40277.0
2033,830.48652,1784.27124,2614.75776,47644.096320000004,1.13992,41796.0
2034,902.59213,1903.6409700000002,2806.2331,50393.353780000005,1.1618600000000001,43373.0
2035,938.0500800000001,2019.23832,2957.2884000000004,53103.80724,1.17977,45012.0
2036,971.1424800000001,2144.54792,3115.22328,56152.028080000004,1.20209,46712.0
2037,980.1240599999999,2271.92951,3252.05357,59354.70377000001,1.22449,48473.0
2038,1017.6094600000001,2408.45976,3425.5661999999998,62747.72084,1.24742,50302.0
2039,1041.83216,2550.81852,3592.65068,66323.36936000001,1.2706600000000001,52196.0
2040,1057.3398399999999,2702.3916299999996,3759.73147,70082.88961,1.29383,54167.0
2041,1092.8390399999998,2865.3295200000002,3958.73072,74042.09360000001,1.3171000000000002,56216.0
2042,1161.25075,3042.8152499999997,4204.066000000001,78245.90375,1.34155,58325.0
2043,1200.49856,3227.55006,4428.04862,82674.05179,1.36631,60509.0
2044,1260.98903,3416.40781,4677.39684,87351.57856000001,1.39168,62767.0
2045,1315.38806,3614.8764400000005,4930.2645,92281.53424,1.41784,65086.0
2046,1366.04475,3828.9728400000004,5195.0175899999995,97476.23123,1.44497,67459.0
2047,1430.99629,4049.01344,5480.00973,102956.93238999999,1.47277,69907.0
2048,1490.6093999999998,4278.4401,5769.0495,108726.8459,1.50113,72430.0
2049,1568.9400300000002,4518.48726,6087.42729,114813.99594000001,1.53018,75033.0
2050,1628.0454500000003,4773.78673,6401.832179999999,121215.17202,1.55982,77711.0
2051,1709.1615600000002,5044.60161,6754.56786,127969.04601,1.59029,80469.0
2052,1803.7481,5332.0960000000005,7135.844099999999,135104.48182000002,1.6216300000000001,83314.0
2053,1851.87338,5631.52366,7483.397040000001,142589.93756,1.6531399999999998,86254.0
2054,1944.7797600000001,5945.06136,7888.948200000001,150478.45008,1.68524,89292.0
2055,2034.4943500000002,6276.3365,8310.830849999998,158789.46474999998,1.7178499999999999,92435.0
2056,2109.0076,6631.317,8740.3246,167530.22439999998,1.7507599999999999,95690.0
