scenario,closure_start,closure_end,remaining_horizon_quarters,starting_debt_gdp_ratio,required_fiscal_adjustment_gdp_share,status,boundary_terminal_debt_gdp_ratio
unchanged_baseline,2045Q1,2054Q4,40,1.3851108729453743,0.029220811278910273,solved,0.0
unchanged_baseline,2046Q1,2054Q4,36,1.410156992310618,0.029398182481397195,solved,0.0
unchanged_baseline,2047Q1,2054Q4,32,1.436792622942885,0.029576935927404673,solved,0.03440282842005683
unchanged_baseline,2048Q1,2054Q4,28,1.4643389380122223,0.02975697221171251,solved,0.24342390473125014
unchanged_baseline,2049Q1,2054Q4,24,1.490930018257007,0.029938385390241278,solved,0.4514336370643895
unchanged_baseline,2050Q1,2054Q4,20,1.5201071469207934,0.030121083500136474,solved,0.6579014445397955
unchanged_baseline,2051Q1,2054Q4,16,1.5487125589010662,0.03060737158832396,solved,0.8630435511459844
unchanged_baseline,2052Q1,2054Q4,12,1.579940096900604,0.030600335170488442,solved,1.0670402192056025
unchanged_baseline,2053Q1,2054Q4,8,1.6094761863868505,0.03134189578579866,solved,1.2699622471567271
recession_only,2045Q1,2054Q4,40,1.3851108729453743,0.036553067091792374,solved,0.0
recession_only,2046Q1,2054Q4,36,1.4622943732239384,0.03247956648927863,solved,0.0
recession_only,2047Q1,2054Q4,32,1.5137954143792602,0.031213309150127266,solved,0.12235318141192966
recession_only,2048Q1,2054Q4,28,1.542818033767157,0.031403306119819945,solved,0.33124223999847036
recession_only,2049Q1,2054Q4,24,1.57083422392235,0.031594756161772944,solved,0.5395555128740355
recession_only,2050Q1,2054Q4,20,1.6015750579652794,0.03178756221687507,solved,0.7463422991211013
recession_only,2051Q1,2054Q4,16,1.6317135350083152,0.03224772873743272,solved,0.9519731587850373
recession_only,2052Q1,2054Q4,12,1.664614667065376,0.032240315213112505,solved,1.1563696662062535
recession_only,2053Q1,2054Q4,8,1.6957336999090966,0.03302161868100041,solved,1.3595329158811174
rate_only_500bp,2045Q1,2054Q4,40,1.3851108729453743,0.08261882599801419,solved,0.0
rate_only_500bp,2046Q1,2054Q4,36,1.4251782313369272,0.0872896994677253,solved,0.00098919187490791
rate_only_500bp,2047Q1,2054Q4,32,1.4783390987740608,0.09222946401227905,solved,0.3110916642789245
rate_only_500bp,2048Q1,2054Q4,28,1.5421884231403973,0.09745305424424924,solved,0.6094950707961398
rate_only_500bp,2049Q1,2054Q4,24,1.6160639181682692,0.1029798391137435,solved,0.8935893354002086
rate_only_500bp,2050Q1,2054Q4,20,1.7039938524391074,0.1088247587113526,solved,1.162411909803446
rate_only_500bp,2051Q1,2054Q4,16,1.8023166834572866,0.11500568704658862,solved,1.4168569531590984
rate_only_500bp,2052Q1,2054Q4,12,1.9148413979242316,0.12153848043572021,solved,1.6576332776334672
rate_only_500bp,2053Q1,2054Q4,8,2.0352592106079372,0.1284834529386348,solved,1.885264994033442
fiscal_scare_250bp,2045Q1,2054Q4,40,1.3851108729453743,0.06081647868341315,solved,0.0
fiscal_scare_250bp,2046Q1,2054Q4,36,1.4700348134080943,0.06276127567336796,solved,0.001964890631484967
