reference_debt_gdp_ratio,closure_start,closure_end,frontier_target_definition,primary_balance_improvement_gdp_share,additional_cumulative_price_level_change,status,terminal_debt_gdp_ratio,target_debt_gdp_ratio,target_gap,satisfies_target,rate_response_assumption
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.0,,no_solution,1.3437112217026013,1.2031064303908527,0.14060479131174852,False,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.0038666828046016117,,no_solution,1.3132595741138657,1.2031064303908527,0.11015314372301299,False,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.007733365609203223,,no_solution,1.28280792652513,1.2031064303908527,0.07970149613427724,False,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.011600048413804836,,no_solution,1.2523562789363942,1.2031064303908527,0.049249848545541486,False,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.015466731218406447,,no_solution,1.2219046313476587,1.2031064303908527,0.018798200956805955,False,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.019333414023008057,0.33233174196707765,solved,1.2031064303439312,1.2031064303908527,-4.6921577734337916e-11,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.02320009682760967,0.02170141816828063,solved,1.2031064303562649,1.2031064303908527,-3.458788810917213e-11,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.027066779632211282,0.0,already_satisfied,1.1676602567303518,1.2031064303908527,-0.03544617366050096,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.2,2037Q2,2047Q1,endpoint debt/GDP no higher than starting debt/GDP,0.030933462436812893,0.0,already_satisfied,1.1282267857614818,1.2031064303908527,-0.07487964462937091,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.0,0.7903263806620623,solved,1.5054921773998,1.5054921773147463,8.505374182732339e-11,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.004694562967838489,0.5984824578607044,solved,1.5054921773131615,1.5054921773147463,-1.5847323453499484e-12,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.009389125935676979,0.44571836150225563,solved,1.505492177314715,1.5054921773147463,-3.1308289294429414e-14,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.014083688903515468,0.3186075936638009,solved,1.5054921773545515,1.5054921773147463,3.980527019109559e-11,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.018778251871353957,0.20985007762343033,solved,1.5054921773147476,1.5054921773147463,1.3322676295501878e-15,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.023472814839192446,0.11497355430586595,solved,1.5054921773145875,1.5054921773147463,-1.5876189252139739e-13,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.028167377807030936,0.03101386388093285,solved,1.5054921772839553,1.5054921773147463,-3.079092536495409e-11,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.032861940774869425,0.0,already_satisfied,1.4846559298347757,1.5054921773147463,-0.020836247479970593,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.5,2049Q3,2056Q3,endpoint debt/GDP no higher than starting debt/GDP,0.037556503742707914,0.0,already_satisfied,1.4499288507014911,1.5054921773147463,-0.05556332661325514,True,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1."
1.8,,,,,,reference_not_reached,,,,,
2.0,,,,,,reference_not_reached,,,,,
