year,debt_gdp_ratio,interest_rate,next_year_debt_ratio_change,scenario
0,1.0,0.03,-0.0016153846153846175,convergent
1,0.9983846153846154,0.029983846153846153,-0.0016153595243513907,convergent
2,0.996769255860264,0.029967692558602637,-0.0016152842528106143,convergent
3,0.9951539716074533,0.029951539716074532,-0.001615158807777104,convergent
4,0.9935388127996763,0.02993538812799676,-0.0016149832024996424,convergent
5,0.9919238295971766,0.029919238295971762,-0.0016147574564579319,convergent
6,0.9903090721407187,0.029903090721407184,-0.0016144815953579462,convergent
7,0.9886945905453608,0.029886945905453606,-0.0016141556511256074,convergent
8,0.9870804348942351,0.029870804348942348,-0.00161377966189883,convergent
9,0.9854666552323363,0.029854666552323363,-0.001613353672017927,convergent
10,0.9838533015603184,0.02983853301560318,-0.0016128777320144096,convergent
11,0.9822404238283039,0.029822404238283036,-0.0016123518985980967,convergent
12,0.9806280719297058,0.029806280719297057,-0.0016117762346426878,convergent
13,0.9790162956950631,0.02979016295695063,-0.0016111508091696466,convergent
14,0.9774051448858935,0.029774051448858932,-0.0016104756973305077,convergent
15,0.975794669188563,0.029757946691885626,-0.0016097509803875889,convergent
16,0.9741849182081753,0.02974184918208175,-0.0016089767456930939,convergent
17,0.9725759414624823,0.029725759414624818,-0.0016081530866666471,convergent
18,0.9709677883758157,0.029709677883758154,-0.0016072801027712386,convergent
19,0.9693605082730444,0.029693605082730442,-0.0016063578994876364,convergent
20,0.9677541503735568,0.029677541503735565,-0.001605386588287204,convergent
21,0.9661487637852696,0.029661487637852695,-0.001604366286603218,convergent
22,0.9645443974986664,0.02964544397498666,-0.0016032971178006495,convergent
23,0.9629411003808658,0.029629411003808656,-0.001602179211144415,convergent
24,0.9613389211697214,0.029613389211697212,-0.0016010127017661458,convergent
25,0.9597379084679553,0.029597379084679548,-0.001599797730629477,convergent
26,0.9581381107373258,0.029581381107373253,-0.0015985344444938467,convergent
27,0.9565395762928319,0.02956539576292832,-0.0015972229958768607,convergent
28,0.9549423532969551,0.02954942353296955,-0.0015958635430152295,convergent
29,0.9533464897539399,0.029533464897539396,-0.0015944562498242405,convergent
30,0.9517520335041156,0.029517520335041153,-0.0015930012858558877,convergent
31,0.9501590322182597,0.029501590322182594,-0.0015914988262555746,convergent
32,0.9485675333920042,0.02948567533392004,-0.001589949051717476,convergent
