closure_start,episode_annualized_inflation,additional_cumulative_price_change,rate_response_regime,rate_response_assumption,initial_quarter_debt_gdp_change_pp,episode_end_debt_gdp_change_pp,five_year_debt_gdp_change_pp,ten_year_debt_gdp_change_pp,first_absolute_ratio_increase_after_episode,gross_refinanced_during_episode_billions,repriced_share_at_episode_end,tips_compensation_increase_billions,ten_year_cumulative_interest_difference_billions,ten_year_nominal_debt_difference_billions
2045Q1,0.05,0.028809279955485323,no_additional_rate_response,Isolation experiment: no additional interest-rate response.,-0.9844681066366379,-3.6827312602166984,-3.893438372508573,-4.310473732468512,2046Q2,81820.24876234395,0.324761544723069,180.6296917621739,349.9474615501531,349.947461550124
2045Q1,0.05,0.028809279955485323,one_for_one_contemporaneous,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1.",-0.9623005703661258,-2.860234099053627,-1.5716523603059418,-1.0702501732209546,2046Q2,81939.65049757311,0.32880643998213166,181.1250298230611,3390.459504954735,3390.4595049547497
2045Q1,0.05,0.028809279955485323,one_for_one_lagged_8q,"lagged 8q pass-through; beta bills=1, intermediate=1, long=1.",-0.9844681066366379,-3.6827312602166984,-1.8456092694827841,-0.2600190413639014,2046Q2,81820.24876234395,0.324761544723069,180.6296917621739,4150.751956789398,4150.751956789405
2045Q1,0.1,0.07780019804860361,no_additional_rate_response,Isolation experiment: no additional interest-rate response.,-2.5819111624329594,-9.497359435519549,-10.036592553360911,-11.111620753675155,2046Q2,81830.95247668374,0.3240118380930117,484.88866266057494,944.8535732797754,944.8535732797754
2045Q1,0.1,0.07780019804860361,one_for_one_contemporaneous,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1.",-2.52273934891849,-7.351306203786301,-3.7430980511058864,-2.2408380069230294,2046Q2,82154.77925154635,0.3349315605424992,487.50119931137897,9665.267138232331,9665.26713823236
2045Q1,0.1,0.07780019804860361,one_for_one_lagged_8q,"lagged 8q pass-through; beta bills=1, intermediate=1, long=1.",-2.5819111624329594,-9.497359435519549,-4.569430096453075,-0.1405253388980343,2046Q2,81830.95247668374,0.3240118380930117,484.88866266057494,11729.977277548183,11729.977277548169
2045Q1,0.15,0.1267911161417219,no_additional_rate_response,Isolation experiment: no additional interest-rate response.,-4.0910727383393075,-14.811074800978673,-15.645771208193725,-17.32158127886676,2046Q2,81841.48033962109,0.3232749734911491,785.6663226176921,1539.5360577270912,1539.5360577270621
2045Q1,0.15,0.1267911161417219,one_for_one_contemporaneous,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1.",-3.99570604743118,-11.425159021551124,-5.3442450540811315,-2.6679198081524635,2046Q2,82371.47273293501,0.34106297791161433,791.9666766906842,16599.587249536366,16599.58724953636
2045Q1,0.15,0.1267911161417219,one_for_one_lagged_8q,"lagged 8q pass-through; beta bills=1, intermediate=1, long=1.",-4.0910727383393075,-14.811074800978673,-6.823760001968027,0.6248701770752207,2046Q2,81841.48033962109,0.3232749734911491,785.6663226176921,19983.696118197753,19983.696118197724
2045Q1,0.2,0.17578203423484018,no_additional_rate_response,Isolation experiment: no additional interest-rate response.,-5.520363812812579,-19.686245417634552,-20.787708192754593,-23.01424017678173,2046Q2,81851.84321613285,0.3225503286932954,1083.1520711908263,2134.009331676687,2134.0093316767015
2045Q1,0.2,0.17578203423484018,one_for_one_contemporaneous,"contemporaneous pass-through; beta bills=1, intermediate=1, long=1.",-5.389547614706358,-15.133393979004083,-6.4349631896260195,-2.424495756592715,2046Q2,82589.74580953832,0.3471978225332175,1094.6742650937606,24214.801769254525,24214.801769254496
2045Q1,0.2,0.17578203423484018,one_for_one_lagged_8q,"lagged 8q pass-through; beta bills=1, intermediate=1, long=1.",-5.520363812812579,-19.686245417634552,-8.660523369666251,1.9758790784726088,2046Q2,81851.84321613285,0.3225503286932954,1083.1520711908263,28933.838654692707,28933.83865469272
