scenario,inflation_rate,inflation_duration_quarters,rate_regime,rate_shock_basis_points,rate_response_lag_quarters,first_shock_quarter_debt_gdp_difference_pp,shock_end_quarter,shock_end_debt_gdp_difference_pp,shock_end_nominal_debt_difference_billions,shock_end_nominal_gdp_difference_billions_saar,minimum_debt_gdp_difference_quarter,minimum_debt_gdp_difference_pp,end_debt_gdp_difference_pp,end_nominal_debt_difference_billions,end_nominal_gdp_difference_billions_saar,end_cumulative_interest_difference_billions,debt_gdp_benefit_erased_quarter
stress_0.05_4_rates_unchanged,0.05,4,rates_unchanged,0.0,0,-0.642422384444119,2027Q4,-2.524627474026764,45.980676311577554,917.7876845084465,2036Q3,-2.938702430475093,-2.938702430475093,86.77925826291903,1272.579343905083,86.77925826291175,
stress_0.05_4_rates_plus_500bp_immediate,0.05,4,rates_plus_500bp_immediate,500.0,0,-0.6145195639179368,2027Q4,-1.3779382837225906,448.19688561015937,917.7876845084465,2027Q4,-1.3779382837225906,2.8895852076659123,2921.416385134624,1272.579343905083,2921.416385134613,2029Q3
stress_0.05_4_rates_plus_500bp_delayed_4q,0.05,4,rates_plus_500bp_delayed_4q,500.0,4,-0.642422384444119,2027Q4,-2.524627474026764,45.980676311577554,917.7876845084465,2027Q4,-2.524627474026764,2.282824900664071,2626.3133634367987,1272.579343905083,2626.3133634367987,2031Q1
stress_0.05_8_rates_unchanged,0.05,8,rates_unchanged,0.0,0,-0.642422384444119,2028Q4,-5.156137370122882,117.99183035372698,1980.1002244648043,2036Q3,-5.926155535634847,-5.926155535634847,183.59189039113699,2641.584140690502,183.59189039113335,
stress_0.05_8_rates_plus_500bp_immediate,0.05,8,rates_plus_500bp_immediate,500.0,0,-0.6145195639179368,2028Q4,-1.9747051764196666,1310.489531828207,1980.1002244648043,2028Q4,-1.9747051764196666,5.122628262905216,5708.519983989623,2641.584140690502,5708.519983989623,2030Q2
stress_0.05_8_rates_plus_500bp_delayed_4q,0.05,8,rates_plus_500bp_delayed_4q,500.0,4,-0.642422384444119,2028Q4,-4.048870264744464,533.029271885709,1980.1002244648043,2028Q4,-4.048870264744464,3.7606118369106767,5027.445672723421,2641.584140690502,5027.445672723421,2031Q4
stress_0.1_4_rates_unchanged,0.1,4,rates_unchanged,0.0,0,-1.7920911592373523,2027Q4,-6.779906130572721,135.44558162637986,2588.0879703828687,2036Q3,-7.888166734931201,-7.888166734931201,255.95150374088553,3588.5721141293834,255.95150374088917,
stress_0.1_4_rates_plus_500bp_immediate,0.1,4,rates_plus_500bp_immediate,500.0,0,-1.7645109688913307,2027Q4,-5.683926388308946,538.1809425258543,2588.0879703828687,2027Q4,-5.683926388308946,-2.3039497057226743,3101.2128824832034,3588.5721141293834,3101.212882483196,
stress_0.1_4_rates_plus_500bp_delayed_4q,0.1,4,rates_plus_500bp_delayed_4q,500.0,4,-1.7920911592373523,2027Q4,-6.779906130572721,135.44558162637986,2588.0879703828687,2027Q4,-6.779906130572721,-2.889357350515631,2802.9369104288053,3588.5721141293834,2802.9369104288016,
stress_0.1_8_rates_unchanged,0.1,8,rates_unchanged,0.0,0,-1.7920911592373523,2028Q4,-13.334803018915952,350.08072433822963,5634.909725511126,2036Q3,-15.322976167246317,-15.322976167246317,546.1736669326492,7517.340779634535,546.1736669326492,
stress_0.1_8_rates_plus_500bp_immediate,0.1,8,rates_plus_500bp_immediate,500.0,0,-1.7645109688913307,2028Q4,-10.424385126317892,1547.364239567818,5634.909725511126,2028Q4,-10.424385126317892,-5.174854255750194,6115.524835972406,7517.340779634535,6115.524835972399,
stress_0.1_8_rates_plus_500bp_delayed_4q,0.1,8,rates_plus_500bp_delayed_4q,500.0,4,-1.7920911592373523,2028Q4,-12.323712231311335,766.0217943399912,5634.909725511126,2028Q4,-12.323712231311335,-6.436210071880066,5423.285074723579,7517.340779634535,5423.285074723579,
stress_0.15_4_rates_unchanged,0.15,4,rates_unchanged,0.0,0,-2.8782243604439373,2027Q4,-10.667848999853224,223.8776700218441,4258.388256257313,2036Q3,-12.407390010300844,-12.407390010300844,425.0453542549658,5904.564884353706,425.0453542549549,
stress_0.15_4_rates_plus_500bp_immediate,0.15,4,rates_plus_500bp_immediate,500.0,0,-2.8509489703656743,2027Q4,-9.618199705202224,627.1204589142435,4258.388256257313,2027Q4,-9.618199705202224,-7.046131928315713,3280.871394407368,5904.564884353706,3280.8713944073716,
