quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,treasury_debt_management_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,bill_share_of_marketable_debt,weighted_average_remaining_maturity_quarters,principal_maturing_next_four_quarters_billions,principal_maturing_next_eight_quarters_billions,share_marketable_debt_maturing_next_four_quarters,share_marketable_debt_maturing_next_eight_quarters,principal_maturing_billions,principal_refinanced_billions,treasury_buyback_operation_count,treasury_buyback_cash_limit_billions,treasury_buyback_face_value_limit_billions,treasury_buyback_cash_spent_billions,treasury_buyback_face_value_retired_billions,treasury_buyback_premium_or_discount_billions,treasury_buyback_unfilled_cash_limit_billions,treasury_buyback_unfilled_face_value_limit_billions,treasury_buyback_weighted_price_per_dollar_face,treasury_buyback_notes_retired_billions,treasury_buyback_bonds_retired_billions,treasury_buyback_financing_issuance_billions,treasury_buyback_financing_instrument,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,new_borrowing_bill_share,new_borrowing_note_share,new_borrowing_bond_share,new_borrowing_tips_share,new_borrowing_frn_share,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,short_issuance_rate,intermediate_issuance_rate,long_issuance_rate,tips_real_issuance_rate,reference_annual_real_gdp_growth_rate,reference_annual_inflation_rate,reference_primary_deficit_billions,policy_regime,inflation_gap_to_target,output_gap,policy_reaction_rate_adjustment,policy_rate_proxy,iorb_rate,fiscal_risk_premium_basis_points,liquidity_premium_basis_points,reference_short_issuance_rate,reference_intermediate_issuance_rate,reference_long_issuance_rate,reference_tips_real_issuance_rate,shadow_short_issuance_rate,shadow_intermediate_issuance_rate,shadow_long_issuance_rate,shadow_tips_real_issuance_rate,short_yield_suppression_basis_points,intermediate_yield_suppression_basis_points,long_yield_suppression_basis_points,average_nominal_yield_suppression_basis_points,required_fed_purchase_equivalent_gross_issuance_share,rate_bound_binding,required_total_fed_market_absorption_billions,fed_treasury_rollover_billions,required_fed_treasury_purchases_billions,fed_treasury_purchases_billions,unfilled_fed_treasury_purchases_billions,fed_purchase_requirement_covered,fed_purchase_requirement_coverage_ratio,fed_treasury_holdings_billions,fed_reserve_balances_billions,fed_average_treasury_yield,fed_treasury_interest_income_billions,fed_reserve_interest_expense_billions,fed_net_income_billions,fed_remittance_to_treasury_billions,fed_deferred_remittances_billions,consolidated_public_financing_cost_billions,consolidated_public_financing_cost_gdp_ratio_annualized,cumulative_consolidated_public_financing_cost_billions,potential_nominal_gdp_billions_saar,macro_feedback_output_gap,automatic_stabilizer_primary_deficit_billions,private_credit_spread_basis_points,financial_stress_index,supply_inflation_pressure_rate,monetary_tightening_rate_gap,macro_feedback_iterations,macro_feedback_converged,macro_feedback_maximum_change,scenario
2036Q4,2036-12-31,2036,4,2037,45567.45791099619,27698.55388240954,0.017515988152144724,0.05366937236414482,0.05366937236414482,247.04041823154074,1600.941481453217,330.1144357628681,916.7886883253786,225.02850094890826,99.41193727393606,29.59791914212602,5.894658234200658,82.22397719580539,0.0,1689.0601168832231,1936.100535114764,0.0,0.0,77061.53216807223,78997.63270318699,1.7336414258062778,0.021685687949858246,0.1482689791633625,0.16995466711322077,78414.86866619236,582.7640369946275,16671.159945451425,40103.24173637341,13378.140339574364,53481.382075947775,6462.718154308958,1799.6084904842012,0.21260202598080738,20.14752359247369,21538.13658159647,26305.13930897211,0.27466903851211044,0.33546111542890666,17422.492045636947,17422.492045636947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1756.50018026592,19178.992225902868,1853.8765579189585,1853.8765579189585,0.0,19276.368603555908,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0799532542402122,0.087673321272635,0.06670633115924392,0.26568584340268175,1689.0601168832231,0.0,0.0664020292731086,0.07283902195483134,0.0665260146365542,0.04012601463655431,0.017515988152144724,0.05366937236414482,247.04041823154074,price_stability,0.033669372364144814,0.0,0.02525202927310861,0.05640202927310861,0.05640202927310861,0.0,100.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.0664020292731086,0.07283902195483134,0.0665260146365542,0.04012601463655431,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1689.0601168832231,0.1482689791633625,1689.0601168832231,45567.457910996185,0.0,-0.0,200.0,0.0,0.0,0.02525202927310861,14,True,9.655805511708457e-11,price_stability
2037Q1,2037-03-31,2037,1,2037,46359.78453943728,27818.71239056672,0.01746555549210771,0.052995984916861916,0.052995984916861916,249.06629979072068,1574.133962348086,276.7497126786353,929.9199528178177,230.3582925630303,101.3284362958437,35.77756799275875,5.894658234200658,83.9736319472321,0.0,1664.0022525295187,1913.0685523202394,0.0,0.0,78997.63270318699,80910.70125550723,1.7452777673433366,0.021489858269625503,0.143572906480097,0.1650627647497225,80327.9372185126,582.7640369946275,17065.16719706822,41051.04429535393,13694.320156946798,54745.36445230073,6675.2650174446335,1842.1405516990167,0.21244373735935215,20.059638395988745,21864.917991044265,26734.147873978865,0.27219568618531903,0.3328125780356481,17923.845754947488,17923.845754947488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1799.6084904842012,19723.45424543169,1829.0949203730074,1829.0949203730074,0.0,19752.940675320497,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08249416271182855,0.08425580340016382,0.07828693629823709,0.29516469045418453,3353.0623694127416,0.0,0.07852300332420073,0.08192975249315045,0.07258650166210026,0.04618650166210037,0.01746555549210771,0.052776795798754605,249.06629979072068,price_stability,0.03299598491686191,0.0,0.03737300332420074,0.06852300332420073,0.06852300332420073,0.0,100.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.07852300332420073,0.08192975249315045,0.07258650166210026,0.04618650166210037,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.0022525295187,0.143572906480097,3353.0623694127416,46359.78453943728,0.0,-0.0,200.0,0.0,0.0,0.03737300332420074,14,True,9.655805511708457e-11,price_stability
2037Q2,2037-06-30,2037,2,2037,46719.3091810177,27679.192392180303,-0.019910899310579322,0.05233606521852467,0.05233606521852467,300.5173800100084,1659.4464093372899,335.00204513585726,946.8330603921049,236.19673613764442,103.30054207380503,38.114025597878495,5.894658234200658,85.67567268876113,0.0,1751.0167402602517,2051.5341202702602,0.0,0.0,80910.70125550723,82962.23537577748,1.7757590347565644,0.02572960818796612,0.14991803354589833,0.17564764173386446,82379.47133878285,582.7640369946275,17488.634823254226,42069.71513985622,14034.14110227511,56103.85624213133,6899.127489434722,1887.8527839625829,0.21229360347959497,19.97801845889915,22258.379256324013,27235.603772900235,0.2701932762446018,0.33061153865499715,18329.876295902664,18329.876295902664,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1842.1405516990167,20172.01684760168,1965.858447581499,1965.858447581499,0.0,20295.734743484165,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08302007172258917,0.08656539681843718,0.08146336417460219,0.3245641541627323,5104.079109672994,0.0,0.08176029874642457,0.08435772405981833,0.07420514937321218,0.04780514937321229,0.01746555549210771,0.052776795798755494,251.10879480984056,price_stability,0.03233606521852467,-0.009313007318277153,0.04061029874642458,0.07176029874642458,0.07176029874642458,0.0,100.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.08176029874642457,0.08435772405981833,0.07420514937321218,0.04780514937321229,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.0167402602517,0.14991803354589833,5104.079109672994,47158.49660501918,-0.009313007318277153,49.40858520016784,200.0,0.0,0.0,0.04061029874642458,14,True,9.655805511708457e-11,price_stability
2037Q3,2037-09-30,2037,3,2037,47014.222412480914,27505.17364682791,-0.024911786413927883,0.05168934391415417,0.05168934391415417,359.9727248019271,1710.4093492949382,357.4690019540974,966.2366822740709,242.6344596152538,105.71098989026092,38.35821556125479,5.894658234200658,87.4750719062701,0.0,1803.7790794354091,2163.7518042373363,0.0,0.0,82962.23537577748,85125.98718001482,1.8106433077454525,0.030626708798345646,0.1534666734342549,0.18409338223260055,84543.2231430202,582.7640369946275,17935.887767751403,43145.60266113028,14393.049101379494,57538.65176250978,7132.551033092665,1936.1325796663473,0.21215050835487542,19.890553550200746,22607.62785085753,27708.27483258994,0.2674091075592496,0.32774093301028245,18774.430684808805,18774.430684808805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1887.8527839625829,20662.283468771388,2076.276732331066,2076.276732331066,0.0,20850.70741713987,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08239649766517801,0.08696868261879352,0.0800290160576089,0.3536172208075089,6907.858189108403,0.0,0.08027374313740993,0.08324280735305735,0.07346187156870486,0.04706187156870497,0.017465555492108598,0.052776795798754605,253.16803952936806,price_stability,0.031689343914154164,-0.019793656685671908,0.03912374313740993,0.07027374313740993,0.07027374313740993,0.0,100.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.08027374313740993,0.08324280735305735,0.07346187156870486,0.04706187156870497,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1803.7790794354091,0.1534666734342549,6907.858189108403,47963.59739268143,-0.019793656685671908,106.80468527255901,200.0,0.0,0.0,0.03912374313740993,14,True,9.655805511708457e-11,price_stability
2037Q4,2037-12-31,2037,4,2038,47354.92787847522,27365.38937950335,-0.02017399005649434,0.050496776596774456,0.050496776596774456,424.0451318740089,1736.0942614891064,359.94521190247224,986.2064013112048,249.22597294905057,108.12305518831005,32.59362013806931,5.91068424521801,88.38617936854409,0.0,1830.3911251028685,2254.4362569768773,0.0,0.0,85125.98718001482,87380.4234369917,1.8452234508989662,0.035818458679714726,0.15461040336077525,0.19042886204048998,86797.65939999706,582.7640369946275,18402.478882535517,44268.00904013792,14767.475442150308,59035.48448228823,7373.196154461497,1986.499880711832,0.21201584247485064,19.731606014137277,23198.811087795133,29181.763661212583,0.26727461602260577,0.336204499786472,19015.15618851878,19015.156188518777,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1936.1325796663473,20951.288768185124,2166.050077608333,2166.050077608333,0.0,21181.20626612711,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07851580910523424,0.08600857086013765,0.06620849194366629,0.3794426634899722,8738.249314211273,0.0,0.0663375790074999,0.07029068425562482,0.06149378950374984,0.035093789503749945,0.01746555549210682,0.052776795798754605,265.00612925662665,price_stability,0.030496776596774456,-0.028987500035143672,0.03518757900749989,0.0663375790074999,0.0663375790074999,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.0663375790074999,0.07029068425562482,0.06149378950374984,0.035093789503749945,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830.3911251028685,0.15461040336077525,8738.249314211273,48768.607901740834,-0.028987500035143672,159.0390026173823,200.0,0.0,0.0,0.0351875790074999,14,True,9.655805511708457e-11,price_stability
2038Q1,2038-03-31,2038,1,2038,47782.692334078834,27286.28008491011,-0.011513362990099418,0.04869922166369865,0.04869922166369865,467.7580109166084,1702.5303678130092,305.19397420101205,1001.6531014224223,254.98219659505548,109.77354126981724,30.92755432470218,5.91068424521801,88.1729466875156,0.0,1796.6139987457427,2264.372009662351,0.0,0.0,87380.4234369917,89644.79544665405,1.876093436089598,0.03915710798765529,0.15039872480893166,0.18955583279658694,89062.03140965942,582.7640369946275,18871.256200882068,45395.67443232977,15143.656150233584,60539.33058256335,7614.341449450589,2037.1031767634086,0.2118889037470949,19.613198127684598,23769.282868991657,30668.14417926698,0.26688458025013906,0.344345886724753,19589.598414665805,19589.598414665805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1986.499880711832,21576.098295377637,2176.1990629748357,2176.1990629748357,0.0,21765.79747764064,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07662879958341945,0.08224331849530328,0.061276827924845755,0.405166779806959,10534.863312957015,0.0,0.06127547179840708,0.0664941038488052,0.058962735899203436,0.03256273589920354,0.017441798459170377,0.054505881638612586,267.1793405642089,price_stability,0.028699221663698652,-0.03597093581246742,0.03012547179840708,0.06127547179840708,0.06127547179840708,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.06127547179840708,0.0664941038488052,0.058962735899203436,0.03256273589920354,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.6139987457427,0.15039872480893166,10534.863312957015,49565.61384832238,-0.03597093581246742,200.57867035239946,200.0,0.0,0.0,0.03012547179840708,14,True,9.655805511708457e-11,price_stability
2038Q2,2038-06-30,2038,2,2038,48305.046731117036,27273.648805893998,-0.001850382072650647,0.04638598722831606,0.04638598722831606,499.1848551669387,1704.6694540764947,289.086281784416,1015.22136591904,260.605253247813,110.79973472000198,28.95681840522434,5.91068424521801,86.8040153658449,0.0,1797.3841536875575,2296.569008854496,0.0,0.0,89644.79544665405,91941.36445550855,1.903349042746748,0.0413360415896565,0.14883613827701547,0.19017217986667198,91358.60041851392,582.7640369946275,19347.263991459666,46540.73305790782,15525.639110382399,62066.37216829022,7856.477275219149,2088.48698354488,0.21177277128622607,19.501573128423683,24353.426738696588,32213.28062126731,0.2665696127910618,0.3526026063632566,20107.614780861983,20107.614780861986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2037.1031767634086,22144.717957625395,2209.7649934886513,2209.7649934886513,0.0,22317.379774350637,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07456826822830244,0.0802002679456008,0.05606742651880582,0.4303217545229663,12332.247466644572,0.0,0.055858815469978354,0.06243161160248366,0.056254407734989076,0.02985440773498918,0.017441798459170377,0.054505881638612586,269.37037352520224,price_stability,0.026385987228316057,-0.040573643401848915,0.024708815469978353,0.055858815469978354,0.055858815469978354,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.055858815469978354,0.06243161160248366,0.056254407734989076,0.02985440773498918,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.3841536875575,0.14883613827701547,12332.247466644572,50347.842123488015,-0.040573643401848915,229.81448164173645,200.0,0.0,0.0,0.024708815469978353,14,True,9.655805511708457e-11,price_stability
2038Q3,2038-09-30,2038,3,2038,48912.34955848498,27322.808636956863,0.007229381679531022,0.04370001133500169,0.04370001133500169,518.7660180069106,1701.5177799686664,270.1788122869756,1026.8793804932561,266.05077278979115,111.50291722169585,26.905897176948738,5.91068424521801,84.46027640973846,0.0,1791.8887406236229,2310.6547586305333,0.0,0.0,91941.36445550855,94252.01921413907,1.9269575079692502,0.04242413400211879,0.146538758149906,0.18896289215202475,93669.25517714444,582.7640369946275,19826.810875404546,47694.30513529727,15910.462094134684,63604.76722943195,8097.4242460289,2140.252826279051,0.2116682879340578,19.343618934270815,24955.93718314601,33872.936221837175,0.26642613028095613,0.3616227774820853,20534.019603145392,20534.019603145392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2088.48698354488,22622.506586690273,2226.1944822207947,2226.1944822207947,0.0,22760.214085366188,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07247072602899716,0.07795789202109298,0.05097788152454213,0.4538100556815866,14124.136207268195,-1.4551915228366852e-11,0.05053184556847022,0.05843638417635256,0.05359092278423501,0.02719092278423511,0.01744179845916949,0.054505881638612586,271.57937428799494,price_stability,0.02370001133500169,-0.042990282671080904,0.019381845568470217,0.05053184556847022,0.05053184556847022,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.05053184556847022,0.05843638417635256,0.05359092278423501,0.02719092278423511,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.8887406236229,0.146538758149906,14124.136207268195,51109.56416931978,-0.042990282671080904,247.18664371891566,200.0,0.0,0.0,0.01938184556847022,14,True,9.655805511708457e-11,price_stability
2038Q4,2038-12-31,2038,4,2039,49587.69988288727,27424.57054954657,0.014981158732110256,0.04079159250419072,0.04079159250419072,534.4534548095542,1695.5169615963046,250.4713363178021,1036.6278315926313,271.20652749175804,112.30821549874199,24.903050695371444,5.922339525957902,81.34278341346193,0.0,1782.7820845357244,2317.2355393452785,0.0,0.0,94252.01921413907,96569.25475348436,1.947443720550758,0.04311177619222417,0.14380841125893504,0.1869201874511592,95986.49071648973,582.7640369946275,20308.446874642323,48852.90267557475,16296.961534574166,65149.86421014891,8335.935448106145,2192.244183592351,0.21157609495930338,19.1788464793353,26319.3409472178,35463.35247810196,0.27419838719758866,0.369461912956566,21029.116331120087,21029.116331120083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2140.252826279051,23169.369157399135,2235.8927559318163,2235.8927559318163,0.0,23265.009087051898,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.07039196606838327,0.07566021818525806,0.046169780665134164,0.47639542689080316,15906.918291803919,1.4551915228366852e-11,0.04554225966128832,0.05469419474596614,0.05109612983064406,0.024696129830644162,0.017441798459170377,0.054505881638613474,280.32405192709604,price_stability,0.020791592504190718,-0.04356943000435931,0.01439225966128832,0.04554225966128832,0.04554225966128832,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.04554225966128832,0.05469419474596614,0.05109612983064406,0.024696129830644162,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1782.7820845357244,0.14380841125893504,15906.918291803919,51846.62790850912,-0.04356943000435931,254.12940288245815,0.0,0.0,0.0,0.014392259661288317,14,True,9.655805511708457e-11,price_stability
2039Q1,2039-03-31,2039,1,2039,50309.573849493514,27566.93460538948,0.0209266998553308,0.03779634369384205,0.03779634369384205,535.083507909728,1687.7323416171346,231.22314022060996,1044.4268451258529,276.1436838887998,112.91016868084542,23.028503701027677,5.922339525957902,77.67454903576368,0.0,1771.329230178856,2306.412738088584,0.0,0.0,96569.25475348436,98875.66749157294,1.9653449617237884,0.04254327492500634,0.1408343656798189,0.18337764060482523,98292.9034545783,582.7640369946275,20788.541701138813,50007.79285396477,16682.22422692366,66690.01708088843,8570.275497246834,2244.0691753042415,0.21149585545354566,19.043002946803934,27714.698873994075,37204.669835042834,0.28196032368502766,0.3785081987351744,21596.97578775426,21596.975787754258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2192.244183592351,23789.21997134661,2228.7381890528204,2228.7381890528204,0.0,23825.713976807077,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0683631330697202,0.07337031790089253,0.041774126277057164,0.49869792660654066,17678.247521982776,0.0,0.04101813625212444,0.05130110218909323,0.04883406812606212,0.022434068126062225,0.017227156981449054,0.053808129052610454,282.6228795094774,price_stability,0.01779634369384205,-0.04270100539560501,0.009868136252124446,0.04101813625212444,0.04101813625212444,0.0,0.0,0.03115,0.0438999999999999,0.0438999999999999,0.0175,0.04101813625212444,0.05130110218909323,0.04883406812606212,0.022434068126062225,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.329230178856,0.1408343656798189,17678.247521982776,52553.66832416241,-0.04270100539560501,252.4606284002507,0.0,0.0,0.0,0.009868136252124442,14,True,9.655805511708457e-11,price_stability
