quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,treasury_debt_management_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,bill_share_of_marketable_debt,weighted_average_remaining_maturity_quarters,principal_maturing_next_four_quarters_billions,principal_maturing_next_eight_quarters_billions,share_marketable_debt_maturing_next_four_quarters,share_marketable_debt_maturing_next_eight_quarters,principal_maturing_billions,principal_refinanced_billions,treasury_buyback_operation_count,treasury_buyback_cash_limit_billions,treasury_buyback_face_value_limit_billions,treasury_buyback_cash_spent_billions,treasury_buyback_face_value_retired_billions,treasury_buyback_premium_or_discount_billions,treasury_buyback_unfilled_cash_limit_billions,treasury_buyback_unfilled_face_value_limit_billions,treasury_buyback_weighted_price_per_dollar_face,treasury_buyback_notes_retired_billions,treasury_buyback_bonds_retired_billions,treasury_buyback_financing_issuance_billions,treasury_buyback_financing_instrument,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,new_borrowing_bill_share,new_borrowing_note_share,new_borrowing_bond_share,new_borrowing_tips_share,new_borrowing_frn_share,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,primary_balance_adjustment_billions,primary_balance_adjustment_gdp_share,short_issuance_rate,intermediate_issuance_rate,long_issuance_rate,stage
2039Q3,2039-09-30,2039,3,2039,61338.1891266713,31406.37376620059,-0.01,0.04889168068136481,0.04889168068136481,207.89679158338583,3093.9445518951848,761.4457522042973,1662.0328779138667,423.3994510152387,194.13053592388997,52.93593483789277,11.65528073989255,115.66525415306718,0.0,3221.2650867881443,3429.1618783715303,0.0,0.0,108658.93763136918,112088.09950974071,1.8273786870079305,0.013557413059850988,0.21006587463061976,0.22362328769047077,111505.33547274608,582.7640369946275,23522.431153006095,56584.2896260846,18876.094172364454,75460.38379844905,9983.33506819177,2539.185453099171,0.21095341360374098,19.3374185753541,32618.161390468,42865.18949946494,0.2925255661729341,0.3844227661190434,24138.089234463627,24138.08923446363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2462.1365040880355,26600.225738551664,3313.4966242184632,3313.4966242184632,0.0,27451.585858682094,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.10340040979833307,0.11858260929133858,0.08477349228103867,0.2658219975267314,3221.2650867881443,1.4551915228366852e-11,52.56124841661415,0.0034276361376152377,0.085,0.09,0.09,conditional_recovery
2039Q4,2039-12-31,2039,4,2040,61930.24768904389,31327.561667597638,-0.01,0.049668760511023605,0.04889168068136481,158.19778250478532,2883.1669176544838,499.8516620013795,1697.1578403499152,436.7730414147287,196.37887755501538,53.00549633344519,11.382110097551319,119.8499835290042,0.0,3014.3990112810393,3172.5967937858245,0.0,0.0,112088.09950974071,115260.69630352654,1.8611373376424807,0.010217803959002875,0.194696396269335,0.20491420022833787,114677.9322665319,582.7640369946275,24180.026539223632,58166.16556180202,19403.79610745837,77569.96166926039,10317.772888045254,2610.171170002643,0.2108516090351625,19.402537101061608,33533.349398548155,43887.55648324687,0.2924132719851513,0.382702718961172,25631.74485353515,25631.74485353515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2539.185453099171,28170.93030663432,3052.7468102568205,3052.7468102568205,0.0,28684.49166379197,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.10191526951897387,0.10757249072704926,0.08245455056780213,0.30105779793456794,6235.664098069184,0.0,106.1371774952147,0.0068552722752304755,0.0825,0.0875,0.088,conditional_recovery
2040Q1,2040-03-31,2040,1,2040,62539.59032826603,31248.94734244451,-0.01,0.050445840340682405,0.049668760511023605,103.56274011938726,2922.617413387729,498.7130473714874,1723.7216264040007,448.8566937993871,198.4700796202989,52.85596619255351,11.108939455210088,125.79831685515646,0.0,3059.5246696980953,3163.0874098174827,0.0,0.0,115260.69630352654,118423.78371334402,1.893581059481613,0.006623819540600987,0.19568562273202364,0.20230944227262465,117841.01967634939,582.7640369946275,24834.292162376587,59740.03159937553,19928.826000671495,79668.85760004702,10657.072466308944,2680.7974476168315,0.21074403658916074,19.475479058783964,34576.11958535219,45020.88259949544,0.29341327561757,0.3820476326761716,26421.64799100006,26421.64799100006,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2610.171170002643,29031.819161002702,3037.2890929623263,3037.2890929623263,0.0,29458.937083962384,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.1003676313616928,0.10617755289769096,0.07991753308847242,0.3353459492377961,9295.188767767278,0.0,160.77221988061277,0.010282908412845711,0.08,0.08499999999999999,0.086,conditional_recovery
2040Q2,2040-06-30,2040,2,2040,63166.605061288064,31170.530294442564,-0.01,0.051222920170341205,0.050445840340682405,47.822821801459526,2957.6319311708644,496.68584324753175,1747.2847119513704,460.57919830183795,200.47152776064507,52.610649909480316,10.835768812868855,131.93106708334093,0.0,3100.3987670670745,3148.221588868534,0.0,0.0,118423.78371334402,121572.00530221255,1.9246246522866954,0.0030283610623087266,0.19633151182077174,0.1993598728830805,120989.24126521792,582.7640369946275,25484.034461329564,61303.01657261775,20450.22605252105,81753.24262513881,11001.028734637677,2750.9354441118817,0.21063058330506065,19.566938960831024,35447.155599573816,45965.09490270636,0.29297774933451204,0.37991059719059866,27181.319796249627,27181.319796249623,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2680.7974476168315,29862.117243866454,3016.290521785193,3016.290521785193,0.0,30197.61031803482,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.09879564659671071,0.10472216542487388,0.07752931788681784,0.3685392636547719,12395.587534834352,0.0,216.5121381985405,0.013710544550460948,0.0775,0.0825,0.084,conditional_recovery
2040Q3,2040-09-30,2040,3,2040,63811.69336797123,31092.310028538588,-0.01,0.052,0.051222920170341205,-9.069122738100873,2989.0941644997342,493.75316768826025,1767.7025138809802,473.0548655016405,202.31584399072852,52.26777343812576,10.562598170527625,138.24828431439974,0.0,3137.9050469846616,3128.835924246561,0.0,0.0,121572.00530221255,124700.84122645912,1.9542004708662026,-0.0005684928425769002,0.19669780765038647,0.19612931480780957,124118.07718946449,582.7640369946275,26128.240075595077,62852.68279628491,20967.18306951237,83819.86586579728,11349.495478221485,2820.47576985065,0.21051115733698234,19.653677201378482,36404.963510719106,46892.66704412655,0.2933091160858659,0.37780690859837895,27903.23214796349,27903.232147963485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2750.9354441118817,30654.167592075366,2990.587639932161,2990.587639932161,0.0,30893.819787895645,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.09717768720338865,0.10324432961961032,0.075062507865121,0.4004695915518901,15533.492581819013,0.0,273.4040827381009,0.017138180688076182,0.075,0.08,0.082,conditional_recovery
2040Q4,2040-12-31,2040,4,2041,64510.90677064422,31043.614013759674,-0.00625,0.051125,0.052,-58.47011297608151,3016.1837869519754,489.9045014174077,1784.96434330967,485.43878754821844,204.0499124056752,51.82624227100571,10.289427528186394,144.7506129613501,0.0,3171.223827441512,3112.7537144654307,0.0,0.0,124700.84122645912,127813.59494092454,1.981271095682169,-0.0036254404659950257,0.1966317936727302,0.19300635320673518,127230.8309039299,582.7640369946275,26767.580730794787,64390.64613724372,21480.236092699924,85870.88222994364,11702.877007319148,2889.49093587232,0.21038596180360236,19.69698946873856,37152.797154840526,47574.57457525928,0.29201096063653037,0.3739233190356363,28491.42057261587,28491.42057261587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2820.47576985065,31311.89634246652,2968.0031015040804,2968.0031015040804,0.0,31459.42367411995,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0955445663437516,0.10172261217332156,0.07272039208582232,0.4302623632032322,18704.716409260524,-1.4551915228366852e-11,331.67987297608147,0.020565816825691426,0.0725,0.0775,0.0795,conditional_recovery
2041Q1,2041-03-31,2041,1,2041,65265.63157880792,31024.193538811283,-0.0025000000000000005,0.050249999999999996,0.051125,-118.27720535165747,3039.808422597617,485.16240074565553,1799.2594832411498,497.38697734975545,206.71109714932408,51.28846411173369,10.016256885845161,146.79234495213905,0.0,3196.6170244356013,3078.339819083944,0.0,0.0,127813.59494092454,130891.93476000849,2.0055262102528975,-0.007248973310483533,0.1959142628123166,0.18866528950183306,130309.17072301386,582.7640369946275,27399.06844113804,65909.71885829659,21986.98734692165,87896.70620521824,12055.737679799418,2957.6583968581535,0.2102620121754723,19.786317779047792,37876.16280375173,48196.768891152584,0.29066383120695,0.3698647502991174,29402.001028716524,29402.001028716524,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2889.49093587232,32291.491964588844,2931.547474131805,2931.547474131805,0.0,32333.54850284833,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.09380452462611862,0.10003996917270273,0.07002847974739881,0.4604831952044829,21901.333433696123,0.0,391.48696535165743,0.023993452963306662,0.07,0.07500000000000001,0.077,conditional_recovery
2041Q2,2041-06-30,2041,2,2041,66077.38624327237,31033.88405804346,0.0012499999999999994,0.049374999999999995,0.050249999999999996,-179.76871393320056,3056.585427950836,479.48369771991577,1809.5595148732464,508.67858164441844,208.21373366706132,50.649900046195874,9.74308624350393,148.67718420335083,0.0,3215.005698397691,3035.2369844644904,0.0,0.0,130891.93476000849,133927.171744473,2.026823083640187,-0.010882313853720484,0.19462063384657713,0.18373831999285664,133344.40770747836,582.7640369946275,28020.8653095567,67405.47981354536,22485.961971100834,89891.44178464619,12407.320856690434,3024.779756585016,0.21013903613436055,19.817143416763155,38572.79106936277,48777.76074605728,0.28927190673028497,0.3658028228155059,29964.012892127328,29964.012892127324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,2957.6583968581535,32921.671288985475,2886.5598002611396,2886.5598002611396,0.0,32850.572692388465,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0920306995415131,0.098249161166192,0.06776106594498855,0.48860221372492285,25116.339132093814,0.0,452.9784739332005,0.02742108910092189,0.0675,0.07250000000000001,0.0745,conditional_recovery
2041Q3,2041-09-30,2041,3,2041,66947.8261742195,31072.603888869417,0.005,0.0485,0.049374999999999995,-243.10401374146045,3068.576413690862,472.8521020987693,1815.8803605542414,519.3440629527048,210.59102210149518,49.90886598365276,9.469915601162699,150.39614678785435,0.0,3228.442476079879,2985.338462338418,0.0,0.0,133927.171744473,136912.5102068114,2.045062820270244,-0.014524983267347717,0.1928930428706346,0.17836805960328686,136329.74616981676,582.7640369946275,28631.543201557208,68874.49355980464,22976.013927184867,91850.50748698952,12756.994629632796,3090.7008516372507,0.21001684522974778,19.866586697727133,39153.68226559675,49320.802575122005,0.28719838014534005,0.36177579699801105,30755.78350328314,30755.783503283135,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3024.779756585016,33780.563259868155,2834.942315550564,2834.942315550564,0.0,33590.7258188337,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.09016951560371876,0.09642382300851098,0.06515284651832359,0.5164698773972464,28344.781608173693,0.0,516.3137737414604,0.030848725238537128,0.065,0.07,0.072,conditional_recovery
2041Q4,2041-12-31,2041,4,2042,67878.7490755763,31140.35331056266,0.00875,0.047625,0.0485,-291.34644576890554,3073.7551841397562,465.26257702530467,1818.2656385230885,529.6064457186155,211.55564685300683,49.064876019741355,9.312083674476652,151.9423732752128,0.0,3235.0096410894457,2943.66319532054,0.0,0.0,136912.5102068114,139856.17340213194,2.0603823038402767,-0.017168639654482728,0.19063460568417848,0.17346596602969575,139273.4093651373,582.7640369946275,29232.910706394596,70321.11074168068,23458.594557548826,93779.7052992295,13105.17644497766,3155.6169145355575,0.2098958504688701,19.828885794348192,39689.745230416374,50089.69891940219,0.2849771927845937,0.3596501237941301,31100.48321573904,31100.48321573904,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,3090.7008516372507,34191.18406737629,2791.720822045327,2791.720822045327,0.0,33892.204037784366,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08836893649926543,0.09451319346063686,0.06276521792331703,0.5410940164916495,31579.791249263137,0.0,581.6591332689055,0.03427636137615237,0.0625,0.0675,0.06974999999999999,conditional_recovery
