quarter,reference_gross_issuance_billions,reference_scaled_gross_issuance_billions,required_gross_issuance_billions,stress_nominal_issuance_yield_proxy,reference_nominal_issuance_yield_proxy,nominal_issuance_yield_gap_basis_points,required_private_capacity_multiple,private_absorption_capacity_multiple_at_actual_yield,private_absorption_capacity_billions_at_actual_yield,private_absorption_shortfall_billions_at_actual_yield,required_yield_gap_basis_points_without_capacity_limit,required_short_yield_without_capacity_limit,finite_private_absorption_capacity_exceeded,maximum_private_absorption_capacity_multiple,scenario,capacity_scenario
2026Q4,8124.492456923168,8124.492456923168,8124.492456923168,0.03961084380079489,0.03961084380079489,0.0,1.0,1.0,8124.492456923168,0.0,0.0,0.03278,False,1.25,no_shock_central_spending,tight_capacity
2027Q1,8284.146419285647,8284.146419285647,8284.146419285647,0.03979045890790496,0.03979045890790496,0.0,1.0,1.0,8284.146419285647,0.0,0.0,0.0326399999999999,False,1.25,no_shock_central_spending,tight_capacity
2027Q2,8373.484953461873,8373.484953461873,8373.484953461873,0.03992317782980599,0.03992317782980599,0.0,1.0,1.0,8373.484953461873,0.0,0.0,0.03252,False,1.25,no_shock_central_spending,tight_capacity
2027Q3,8516.680596164133,8516.680596164133,8516.680596164133,0.0400238663854332,0.0400238663854332,0.0,1.0,1.0,8516.680596164133,0.0,0.0,0.03242,False,1.25,no_shock_central_spending,tight_capacity
2027Q4,8440.809041328732,8440.809041328732,8440.809041328732,0.04010739039372216,0.04010739039372216,0.0,1.0,1.0,8440.809041328732,0.0,0.0,0.03234,False,1.25,no_shock_central_spending,tight_capacity
2028Q1,8628.104803492495,8628.104803492495,8628.104803492495,0.040168615673608014,0.040168615673608014,0.0,1.0,1.0,8628.104803492495,0.0,0.0,0.03226,False,1.25,no_shock_central_spending,tight_capacity
2028Q2,8756.903789917611,8756.903789917611,8756.903789917611,0.04022497513455849,0.04022497513455849,0.0,1.0,1.0,8756.903789917611,0.0,0.0,0.0321899999999999,False,1.25,no_shock_central_spending,tight_capacity
2028Q3,8842.966909577362,8842.966909577362,8842.966909577362,0.040269035867106,0.040269035867106,0.0,1.0,1.0,8842.966909577362,0.0,0.0,0.03213,False,1.25,no_shock_central_spending,tight_capacity
2028Q4,8729.680239674139,8729.680239674139,8729.680239674139,0.040308230780718116,0.040308230780718116,0.0,1.0,1.0,8729.680239674139,0.0,0.0,0.03208,False,1.25,no_shock_central_spending,tight_capacity
2029Q1,8878.832550589164,8878.832550589164,8878.832550589164,0.04033999278486253,0.04033999278486253,0.0,1.0,1.0,8878.832550589164,0.0,0.0,0.0320299999999999,False,1.25,no_shock_central_spending,tight_capacity
2029Q2,8985.569922374312,8985.569922374312,8985.569922374312,0.04037175478900701,0.04037175478900701,0.0,1.0,1.0,8985.569922374312,0.0,0.0,0.03198,False,1.25,no_shock_central_spending,tight_capacity
2029Q3,9064.268415352122,9064.268415352122,9064.268415352122,0.040391218064748394,0.040391218064748394,0.0,1.0,1.0,9064.268415352122,0.0,0.0,0.0319399999999999,False,1.25,no_shock_central_spending,tight_capacity
2029Q4,9164.011109492114,9164.011109492114,9164.011109492114,0.040413248431022154,0.040413248431022154,0.0,1.0,1.0,9164.011109492114,0.0,0.0,0.03191,False,1.25,no_shock_central_spending,tight_capacity
2030Q1,9303.186767143214,9303.186767143214,9303.186767143214,0.04042527879729586,0.04042527879729586,0.0,1.0,1.0,9303.186767143214,0.0,0.0,0.0318699999999999,False,1.25,no_shock_central_spending,tight_capacity
2030Q2,9478.239316757223,9478.239316757223,9478.239316757223,0.04044244334463427,0.04044244334463427,0.0,1.0,1.0,9478.239316757223,0.0,0.0,0.03185,False,1.25,no_shock_central_spending,tight_capacity
2030Q3,9600.820719356992,9600.820719356992,9600.820719356992,0.04045704080144034,0.04045704080144034,0.0,1.0,1.0,9600.820719356992,0.0,0.0,0.03182,False,1.25,no_shock_central_spending,tight_capacity
2030Q4,9430.367382177372,9430.367382177372,9430.367382177372,0.04046677243931104,0.04046677243931104,0.0,1.0,1.0,9430.367382177372,0.0,0.0,0.0318,False,1.25,no_shock_central_spending,tight_capacity
2031Q1,9650.493884227892,9650.493884227892,9650.493884227892,0.04047907116771406,0.04047907116771406,0.0,1.0,1.0,9650.493884227892,0.0,0.0,0.03179,False,1.25,no_shock_central_spending,tight_capacity
2031Q2,9713.380788159237,9713.380788159237,9713.380788159237,0.04049366862452013,0.04049366862452013,0.0,1.0,1.0,9713.380788159237,0.0,0.0,0.03176,False,1.25,no_shock_central_spending,tight_capacity
2031Q3,9899.909003530449,9899.909003530449,9899.909003530449,0.040480564809729225,0.040480564809729225,0.0,1.0,1.0,9899.909003530449,0.0,0.0,0.03168,False,1.25,no_shock_central_spending,tight_capacity
2031Q4,9970.676639585217,9970.676639585217,9970.676639585217,0.04047746099493831,0.04047746099493831,0.0,1.0,1.0,9970.676639585217,0.0,0.0,0.03161,False,1.25,no_shock_central_spending,tight_capacity
2032Q1,10175.399471898725,10175.399471898725,10175.399471898725,0.0404769242706797,0.0404769242706797,0.0,1.0,1.0,10175.399471898725,0.0,0.0,0.0315499999999999,False,1.25,no_shock_central_spending,tight_capacity
2032Q2,10250.319005742418,10250.319005742418,10250.319005742418,0.04047638754642106,0.04047638754642106,0.0,1.0,1.0,10250.319005742418,0.0,0.0,0.03149,False,1.25,no_shock_central_spending,tight_capacity
2032Q3,10419.791478923911,10419.791478923911,10419.791478923911,0.04047841791269488,0.04047841791269488,0.0,1.0,1.0,10419.791478923911,0.0,0.0,0.03144,False,1.25,no_shock_central_spending,tight_capacity
2032Q4,11260.164439014272,11260.164439014272,11260.164439014272,0.04048301536950094,0.04048301536950094,0.0,1.0,1.0,11260.164439014272,0.0,0.0,0.0314,False,1.25,no_shock_central_spending,tight_capacity
