scenario,capacity_scenario,private_absorption_shortfall_occurs,first_private_absorption_shortfall,finite_private_absorption_capacity_exceeded,first_finite_private_absorption_capacity_exceeded,peak_required_private_capacity_multiple,peak_private_absorption_shortfall_billions,cumulative_private_absorption_shortfall_billions,peak_required_short_yield_without_capacity_limit
no_shock_central_spending,tight_capacity,False,,False,,1.0000000000000002,3.637978807091713e-12,1.0913936421275139e-11,0.03278
no_shock_central_spending,central_capacity,False,,False,,1.0000000000000002,3.637978807091713e-12,1.0913936421275139e-11,0.03278
no_shock_central_spending,wide_capacity,False,,False,,1.0000000000000002,3.637978807091713e-12,1.0913936421275139e-11,0.03278
stress_no_interest_spending,tight_capacity,True,2030Q4,True,2034Q1,1.5240868411507744,18113.396510528546,986286.167651126,0.24078473646030976
stress_no_interest_spending,central_capacity,True,2033Q4,True,2041Q4,1.5240868411507744,18119.044260246315,961140.1933062653,0.13596736823015487
stress_no_interest_spending,wide_capacity,True,2036Q4,False,,1.5240868411507744,18130.33975968186,950898.385546149,0.08355868411507744
stress_central_spending_no_private_spread,tight_capacity,True,2032Q2,True,2035Q1,1.4838475605699397,26327.05364394185,1001763.8497239284,0.2246890242279759
stress_central_spending_no_private_spread,central_capacity,True,2036Q4,False,,1.4838475605699397,8644.56499902693,482601.80710520304,0.12791951211398794
stress_central_spending_no_private_spread,wide_capacity,True,2036Q4,False,,1.4838475605699397,708.7706109071587,7667.837634431162,0.07953475605699398
stress_central_interest_spending,tight_capacity,True,2032Q1,True,2034Q4,1.4792406881551095,25460.38639612902,984119.7457315213,0.22284627526204379
stress_central_interest_spending,central_capacity,True,2036Q4,False,,1.4792406881551095,8684.3467206559,489821.9414100504,0.12699813763102188
stress_central_interest_spending,wide_capacity,True,2036Q4,False,,1.4792406881551095,956.9778473224505,12751.436887509979,0.07907406881551095
stress_high_interest_spending,tight_capacity,True,2036Q3,True,2036Q3,1.5330372738815141,283284.52856582426,1958378.9244830646,0.24436490955260567
stress_high_interest_spending,central_capacity,True,2056Q2,True,2056Q2,1.5330372738815141,33066.13446447556,42414.81911736471,0.13775745477630283
stress_high_interest_spending,wide_capacity,False,,False,,1.5330372738815141,0.0,0.0,0.08445372738815142
stress_full_domestic_interest_spending,tight_capacity,False,,False,,1.06957031324058,0.0,0.0,0.058998125296232024
stress_full_domestic_interest_spending,central_capacity,False,,False,,1.06957031324058,0.0,0.0,0.04508406264811601
stress_full_domestic_interest_spending,wide_capacity,False,,False,,1.06957031324058,0.0,0.0,0.03812703132405801
