scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,terminal_inflation_rate,terminal_four_quarter_inflation_change,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,rate_bound_ever_binding,interest_income_domestic_demand_fraction,fed_inflation_response,simulation_completed,simulation_error,strict_ceiling_defended,sustained_ceiling_defended,maximum_absolute_debt_identity_residual_billions,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,terminal_debt_gdp_nonincreasing,peak_inflation_deviation_from_reference,terminal_inflation_deviation_from_reference,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points
demand_0.0000_phi_0.0,0.04,4.0,,,False,False,0.0237410866024292,0.0181949667046853,0.0006256618827336,0.03278,0.0827799999999999,2.6441269084707386,0.0418812450277998,-0.0047130914231385,0.0,2.542450104087172,0.1375298990573381,0.1583738514351786,1063.9831557123805,76419.5911090661,False,0.0,0.0,True,,True,True,2.9103830456733704e-11,-1.6850688052247017e-05,True,False,,,,,,,
demand_0.0000_phi_0.5,0.04,4.0,,,False,False,0.0237410866024292,0.0198259318717164,0.0006700779632215,0.03278,0.0827799999999999,2.565294442484282,0.0371206518085815,-0.0047051326666876,0.0,2.4632371215095703,0.1360589009918632,0.1566897042600498,1048.6743599260897,73738.54555765327,False,0.0,0.5,True,,True,True,2.9103830456733704e-11,2.7565392435652996e-05,False,False,,,,,,,
demand_0.0000_phi_1.0,0.04,4.0,,,False,False,0.0237410866024292,0.0203729323005203,0.0006610536886683,0.03278,0.0827799999999999,2.5311441897514784,0.0360338902796555,-0.0047051326666876,0.0002462383237086,2.429111424369794,0.1350265464040625,0.155525861205874,1038.151445687732,72718.26261671548,False,0.0,1.0,True,,True,True,2.9103830456733704e-11,1.8541117882452996e-05,False,False,,,,,,,
demand_0.0000_phi_1.5,0.04,4.0,,,False,False,0.0237410866024292,0.0205358210838193,0.0006500623637098,0.03278,0.0827799999999999,2.515566120333184,0.0358790205733035,-0.0047051326666876,0.0005525453689678,2.4135916647413915,0.1343338072497345,0.1547628318743076,1031.341249975634,72331.88302270921,False,0.0,1.5,True,,True,True,2.9103830456733704e-11,7.549792923952983e-06,False,False,,,,,,,
demand_0.0000_phi_2.0,0.04,4.0,,,False,False,0.0237410866024292,0.0205774563374586,0.0006447250563267,0.03278,0.0827799999999999,2.507813987683539,0.0358938147818501,-0.0047051326666876,0.0008589904206236,2.405882301811044,0.1338980521528347,0.1543005944865307,1027.338808463094,72175.59678987827,False,0.0,2.0,True,,True,True,2.9103830456733704e-11,2.212485540852992e-06,False,False,,,,,,,
demand_0.0000_phi_2.5,0.04,4.0,,,False,False,0.0237410866024292,0.0205861165299761,0.0006429696218712,0.03278,0.0827799999999999,2.5034978491909623,0.0359118863952026,-0.0047051326666876,0.0011625504785624,2.40160328509656,0.1336506807165064,0.1540559898326398,1025.3866212288503,72101.91701874472,False,0.0,2.5,True,,True,True,2.9103830456733704e-11,4.5705108535300156e-07,False,False,,,,,,,
demand_0.0000_phi_3.0,0.04,4.0,,,False,False,0.0237410866024292,0.0205874543537348,0.000642570669409,0.03278,0.0827799999999999,2.500822052510688,0.035916710080893,-0.0047051326666876,0.001484525844152,2.3989669608548647,0.133535245390816,0.1539606162864535,1024.8574953133034,72060.82481875214,False,0.0,3.0,True,,True,True,2.9103830456733704e-11,5.8098623152984426e-08,False,False,,,,,,,
demand_0.0000_phi_4.0,0.04,4.0,,,False,False,0.0237410866024292,0.0205875873510602,0.0006425125763761,0.03278,0.0827799999999999,2.497745299250378,0.0359121311760066,-0.0047051326666876,0.002118017094934,2.3959741847999223,0.1335262892406206,0.1540075858725945,1026.1262446388585,72020.19760509614,False,0.0,4.0,True,,True,True,2.9103830456733704e-11,5.590252978408816e-12,False,False,,,,,,,
demand_0.0000_phi_5.0,0.04,4.0,,,False,False,0.0237410866024292,0.0205875873591386,0.0006425125725451,0.03278,0.0827799999999999,2.496060153588875,0.0359051498262821,-0.0047051326666876,0.0027299757159214,2.3943578256637643,0.1336107545735434,0.1541295099572049,1028.228387761889,72003.8022851221,False,0.0,5.0,True,,True,True,2.9103830456733704e-11,1.7592530080282054e-12,False,False,,,,,,,
demand_0.0000_phi_6.0,0.04,4.0,,,False,False,0.0237410866024292,0.020587587346979,0.000642512682963,0.03278,0.0827799999999999,2.494924715143188,0.0358978558926126,-0.0047051326666876,0.0033203893840113,2.393253236256398,0.1336464801184403,0.1541612557859316,1029.568858813393,71989.12269943881,False,0.0,6.0,True,,True,True,2.9103830456733704e-11,1.1217715298328379e-10,False,False,,,,,,,
