interest_income_domestic_demand_fraction,selection,strict_defense_available,sustained_defense_available,strict_defense_with_nonincreasing_inflation_pressure_available,strict_defense_with_both_terminal_trends_nonincreasing_available,failed_grid_points,selected_fed_inflation_response,selected_peak_policy_rate,selected_peak_inflation_rate,selected_terminal_inflation_rate,selected_terminal_inflation_change,selected_terminal_inflation_deviation_change,selected_terminal_inflation_pressure_nonincreasing,selected_terminal_debt_gdp_ratio,selected_terminal_debt_gdp_nonincreasing,selected_first_ceiling_breach,selected_first_sustained_breach
0.0,strict_ceiling_defended,True,True,True,False,0,0.0,0.03278,0.0237410866024292,0.0181949667046853,0.0006256618827336,-1.6850688052247017e-05,True,2.6441269084707386,False,,
0.05,strict_ceiling_defended,True,True,False,False,0,0.5,0.0403974180830346,0.0341532584674797,0.0341532584674797,0.0007566568295868,0.00011414425880095305,False,2.240501938237108,False,,
0.06,strict_ceiling_defended,True,True,False,False,0,0.5,0.0424892711528235,0.0372472328781701,0.0372472328781701,0.0007744369349631,0.00013192436417725298,False,2.1783111176020737,False,,
0.07,strict_ceiling_defended,True,True,False,False,0,1.0,0.0491622880664557,0.0358790194989458,0.0358790194989458,0.0007396844662186,9.717189543275296e-05,False,2.36210269370668,False,,
0.08,strict_ceiling_defended,True,True,False,False,0,1.0,0.0529048219382379,0.0389934976746482,0.0389934976746482,0.0007990019309004,0.00015648936011455298,False,2.3333173519524046,False,,
0.09,strict_ceiling_defended,True,True,False,False,0,1.5,0.0639584921510752,0.0398673926723861,0.0398673926723861,0.0010206146584415,0.0003781020876556531,False,2.561970314370332,False,,
0.095,strict_ceiling_defended,True,True,False,False,0,3.0,0.0939382660952813,0.039891797914288,0.039891797914288,0.0017563825575658,0.001113869986779953,False,3.2334021109215247,False,,
0.1,no_defense_found,False,False,False,False,0,2.5,0.0925714603560856,0.0429309175141254,0.0429309175141254,0.0017905484320845,0.001148035861298653,False,3.0744438501387275,False,2054Q4,2054Q4
0.15,no_defense_found,False,False,False,False,0,0.5,0.0625641251496876,0.0672698104883966,0.0672698104883966,0.0008236665290193,0.00018115395823345296,False,1.675401518679794,True,2037Q2,2037Q2
0.1566878453499148,no_defense_found,False,False,False,False,0,0.5,0.0641051371594315,0.0695827664614656,0.0695827664614656,0.0008132888557067,0.00017077628492085295,False,1.642595470052736,True,2036Q4,2036Q4
0.2,no_defense_found,False,False,False,False,0,0.5,0.0741420338054844,0.0845098245833805,0.0845051606348194,0.0006776802194758,3.5167648689953e-05,False,1.446263958935757,True,2035Q3,2035Q3
0.25,no_defense_found,False,False,False,False,0,0.0,0.0523685032612765,0.0973069616572685,0.092447496108617,-0.0008581009646138,-0.001500613535399647,True,0.8718465671959652,True,2034Q3,2034Q3
0.325,no_defense_found,False,False,False,False,0,0.0,0.0583422826728799,0.1140006829065395,0.1004700031417937,-0.0022837523164697,-0.002926264887255547,True,0.7096454202387572,True,2033Q3,2033Q3
0.4,no_defense_found,False,False,False,False,3,0.0,0.0640133866164518,0.1286443942318648,0.1041715149736148,-0.0038207887538004,-0.004463301324586247,True,0.6069162886468525,True,2032Q4,2032Q4
