year,debt_gdp_ratio,scenario,primary_deficit_gdp_share,nominal_interest_rate,nominal_gdp_growth
0,1.0,stable_primary_deficit,0.01,0.03,0.04
1,1.0003846153846154,stable_primary_deficit,0.01,0.03,0.04
2,1.0007655325443787,stable_primary_deficit,0.01,0.03,0.04
3,1.0011427870391443,stable_primary_deficit,0.01,0.03,0.04
4,1.0015164140868449,stable_primary_deficit,0.01,0.03,0.04
5,1.001886448566779,stable_primary_deficit,0.01,0.03,0.04
6,1.0022529250228678,stable_primary_deficit,0.01,0.03,0.04
7,1.0026158776668788,stable_primary_deficit,0.01,0.03,0.04
8,1.0029753403816204,stable_primary_deficit,0.01,0.03,0.04
9,1.0033313467241047,stable_primary_deficit,0.01,0.03,0.04
10,1.0036839299286806,stable_primary_deficit,0.01,0.03,0.04
11,1.0040331229101356,stable_primary_deficit,0.01,0.03,0.04
12,1.0043789582667688,stable_primary_deficit,0.01,0.03,0.04
13,1.0047214682834344,stable_primary_deficit,0.01,0.03,0.04
14,1.0050606849345554,stable_primary_deficit,0.01,0.03,0.04
15,1.0053966398871077,stable_primary_deficit,0.01,0.03,0.04
16,1.0057293645035779,stable_primary_deficit,0.01,0.03,0.04
17,1.0060588898448897,stable_primary_deficit,0.01,0.03,0.04
18,1.006385246673304,stable_primary_deficit,0.01,0.03,0.04
19,1.0067084654552916,stable_primary_deficit,0.01,0.03,0.04
20,1.0070285763643754,stable_primary_deficit,0.01,0.03,0.04
21,1.0073456092839488,stable_primary_deficit,0.01,0.03,0.04
22,1.0076595938100648,stable_primary_deficit,0.01,0.03,0.04
23,1.0079705592541988,stable_primary_deficit,0.01,0.03,0.04
24,1.0082785346459853,stable_primary_deficit,0.01,0.03,0.04
25,1.0085835487359278,stable_primary_deficit,0.01,0.03,0.04
26,1.0088856299980824,stable_primary_deficit,0.01,0.03,0.04
27,1.0091848066327163,stable_primary_deficit,0.01,0.03,0.04
28,1.0094811065689402,stable_primary_deficit,0.01,0.03,0.04
29,1.0097745574673158,stable_primary_deficit,0.01,0.03,0.04
30,1.0100651867224377,stable_primary_deficit,0.01,0.03,0.04
31,1.0103530214654912,stable_primary_deficit,0.01,0.03,0.04
32,1.0106380885667847,stable_primary_deficit,0.01,0.03,0.04
33,1.010920414638258,stable_primary_deficit,0.01,0.03,0.04
34,1.011200026035967,stable_primary_deficit,0.01,0.03,0.04
35,1.0114769488625444,stable_primary_deficit,0.01,0.03,0.04
36,1.0117512089696352,stable_primary_deficit,0.01,0.03,0.04
37,1.012022831960312,stable_primary_deficit,0.01,0.03,0.04
38,1.012291843191463,stable_primary_deficit,0.01,0.03,0.04
39,1.0125582677761604,stable_primary_deficit,0.01,0.03,0.04
