date,variable,value
1996,civilian_empl_level,126.72
1997,civilian_empl_level,129.572
1998,civilian_empl_level,131.475
1999,civilian_empl_level,133.5
2000,civilian_empl_level,136.9
2001,civilian_empl_level,136.939
2002,civilian_empl_level,136.48
2003,civilian_empl_level,137.729
2004,civilian_empl_level,139.239
2005,civilian_empl_level,141.71
2006,civilian_empl_level,144.417
2007,civilian_empl_level,146.05
2008,civilian_empl_level,145.373
2009,civilian_empl_level,139.893
2010,civilian_empl_level,139.077
2011,civilian_empl_level,139.885
2012,civilian_empl_level,142.474
2013,civilian_empl_level,143.94
2014,civilian_empl_level,146.318
2015,civilian_empl_level,148.844
2016,civilian_empl_level,151.436
2017,civilian_empl_level,153.334
2018,civilian_empl_level,155.763
2019,civilian_empl_level,157.537
2020,civilian_empl_level,147.813
2021,civilian_empl_level,152.583
2022,civilian_empl_level,158.294
2023,civilian_empl_level,161.041
2024,civilian_empl_level,161.349
2025,civilian_empl_level,163.552
2026,civilian_empl_level,164.434
2027,civilian_empl_level,165.435
2028,civilian_empl_level,166.341
2029,civilian_empl_level,167.332
2030,civilian_empl_level,168.332
2031,civilian_empl_level,169.175
2032,civilian_empl_level,169.958
2033,civilian_empl_level,170.67
2034,civilian_empl_level,171.321
2035,civilian_empl_level,171.941
2036,civilian_empl_level,172.536
2037,civilian_empl_level,173.107
2038,civilian_empl_level,173.688
2039,civilian_empl_level,174.263
2040,civilian_empl_level,174.806
2041,civilian_empl_level,175.321
2042,civilian_empl_level,175.814
2043,civilian_empl_level,176.282
2044,civilian_empl_level,176.715
2045,civilian_empl_level,177.112
2046,civilian_empl_level,177.479
2047,civilian_empl_level,177.825
2048,civilian_empl_level,178.151
2049,civilian_empl_level,178.45
2050,civilian_empl_level,178.715
2051,civilian_empl_level,178.951
2052,civilian_empl_level,179.161
2053,civilian_empl_level,179.356
2054,civilian_empl_level,179.538
2055,civilian_empl_level,179.706
2056,civilian_empl_level,179.865
1996,civilian_empl_level_census,126.759
1997,civilian_empl_level_census,129.732
1998,civilian_empl_level_census,132.348
1999,civilian_empl_level_census,134.629
2000,civilian_empl_level_census,136.859
2001,civilian_empl_level_census,136.896
2002,civilian_empl_level_census,136.273
2003,civilian_empl_level_census,136.654
2004,civilian_empl_level_census,138.364
2005,civilian_empl_level_census,140.777
2006,civilian_empl_level_census,143.53
2007,civilian_empl_level_census,144.891
2008,civilian_empl_level_census,144.689
2009,civilian_empl_level_census,139.449
2010,civilian_empl_level_census,138.862
2011,civilian_empl_level_census,140.241
2012,civilian_empl_level_census,142.864
2013,civilian_empl_level_census,144.445
2014,civilian_empl_level_census,147.005
