date,variable,value
1996,avg_hours_worked_growth,0.012
1997,avg_hours_worked_growth,0.391
1998,avg_hours_worked_growth,0.044
1999,avg_hours_worked_growth,0.044
2000,avg_hours_worked_growth,-0.213
2001,avg_hours_worked_growth,-0.89
2002,avg_hours_worked_growth,-0.3
2003,avg_hours_worked_growth,-0.514
2004,avg_hours_worked_growth,0.029
2005,avg_hours_worked_growth,-0.086
2006,avg_hours_worked_growth,0.351
2007,avg_hours_worked_growth,-0.132
2008,avg_hours_worked_growth,-0.566
2009,avg_hours_worked_growth,-1.685
2010,avg_hours_worked_growth,0.956
2011,avg_hours_worked_growth,0.459
2012,avg_hours_worked_growth,0.34
2013,avg_hours_worked_growth,0.078
2014,avg_hours_worked_growth,0.172
2015,avg_hours_worked_growth,0.087
2016,avg_hours_worked_growth,-0.416
2017,avg_hours_worked_growth,-0.2
2018,avg_hours_worked_growth,0.214
2019,avg_hours_worked_growth,-0.207
2020,avg_hours_worked_growth,-0.691
2021,avg_hours_worked_growth,1.065
2022,avg_hours_worked_growth,-0.724
2023,avg_hours_worked_growth,-0.561
2024,avg_hours_worked_growth,-0.635
2025,avg_hours_worked_growth,0.121
2026,avg_hours_worked_growth,0.197
2027,avg_hours_worked_growth,0.156
2028,avg_hours_worked_growth,0.246
2029,avg_hours_worked_growth,0.196
2030,avg_hours_worked_growth,0.1
2031,avg_hours_worked_growth,0.049
2032,avg_hours_worked_growth,0.024
2033,avg_hours_worked_growth,0.012
2034,avg_hours_worked_growth,0.003
2035,avg_hours_worked_growth,0.0
2036,avg_hours_worked_growth,-0.002
2037,avg_hours_worked_growth,-0.012
2038,avg_hours_worked_growth,-0.018
2039,avg_hours_worked_growth,-0.018
2040,avg_hours_worked_growth,-0.018
2041,avg_hours_worked_growth,-0.018
2042,avg_hours_worked_growth,-0.017
2043,avg_hours_worked_growth,-0.016
2044,avg_hours_worked_growth,-0.016
2045,avg_hours_worked_growth,-0.016
2046,avg_hours_worked_growth,-0.016
2047,avg_hours_worked_growth,-0.016
2048,avg_hours_worked_growth,-0.015
2049,avg_hours_worked_growth,-0.014
2050,avg_hours_worked_growth,-0.014
2051,avg_hours_worked_growth,-0.014
2052,avg_hours_worked_growth,-0.014
2053,avg_hours_worked_growth,-0.014
2054,avg_hours_worked_growth,-0.015
2055,avg_hours_worked_growth,-0.015
2056,avg_hours_worked_growth,-0.015
1996,cpiu_growth,2.936
1997,cpiu_growth,2.337
1998,cpiu_growth,1.547
1999,cpiu_growth,2.193
2000,cpiu_growth,3.366
2001,cpiu_growth,2.816
2002,cpiu_growth,1.595
2003,cpiu_growth,2.297
2004,cpiu_growth,2.667
2005,cpiu_growth,3.365
2006,cpiu_growth,3.222
2007,cpiu_growth,2.87
2008,cpiu_growth,3.814
2009,cpiu_growth,-0.32
2010,cpiu_growth,1.636
2011,cpiu_growth,3.139
2012,cpiu_growth,2.073
2013,cpiu_growth,1.465
2014,cpiu_growth,1.615
2015,cpiu_growth,0.121
2016,cpiu_growth,1.267
2017,cpiu_growth,2.131
2018,cpiu_growth,2.438
2019,cpiu_growth,1.813
2020,cpiu_growth,1.252
2021,cpiu_growth,4.679
2022,cpiu_growth,7.992
2023,cpiu_growth,4.127
2024,cpiu_growth,2.951
2025,cpiu_growth,2.767
2026,cpiu_growth,2.924
2027,cpiu_growth,2.547
2028,cpiu_growth,2.361
2029,cpiu_growth,2.288
2030,cpiu_growth,2.263
2031,cpiu_growth,2.258
2032,cpiu_growth,2.257
2033,cpiu_growth,2.256
2034,cpiu_growth,2.256
2035,cpiu_growth,2.257
2036,cpiu_growth,2.257
