date,variable,value,estimate_type
2023q1,chained_cpiu,168.305,actual
2023q2,chained_cpiu,169.149,actual
2023q3,chained_cpiu,170.687,actual
2023q4,chained_cpiu,171.722,actual
2024q1,chained_cpiu,173.024,actual
2024q2,chained_cpiu,173.933,actual
2024q3,chained_cpiu,174.57,actual
2024q4,chained_cpiu,175.92,actual
2025q1,chained_cpiu,177.186,actual
2025q2,chained_cpiu,177.723,actual
2025q3,chained_cpiu,178.938,projected
2025q4,chained_cpiu,180.242,projected
2026q1,chained_cpiu,181.457,projected
2026q2,chained_cpiu,182.578,projected
2026q3,chained_cpiu,183.684,projected
2026q4,chained_cpiu,184.732,projected
2027q1,chained_cpiu,185.739,projected
2027q2,chained_cpiu,186.724,projected
2027q3,chained_cpiu,187.706,projected
2027q4,chained_cpiu,188.68,projected
2028q1,chained_cpiu,189.649,projected
2028q2,chained_cpiu,190.61,projected
2028q3,chained_cpiu,191.567,projected
2028q4,chained_cpiu,192.523,projected
2029q1,chained_cpiu,193.48,projected
2029q2,chained_cpiu,194.437,projected
2029q3,chained_cpiu,195.395,projected
2029q4,chained_cpiu,196.356,projected
2030q1,chained_cpiu,197.32,projected
2030q2,chained_cpiu,198.288,projected
2030q3,chained_cpiu,199.258,projected
2030q4,chained_cpiu,200.234,projected
2031q1,chained_cpiu,201.214,projected
2031q2,chained_cpiu,202.198,projected
2031q3,chained_cpiu,203.187,projected
2031q4,chained_cpiu,204.18,projected
2032q1,chained_cpiu,205.178,projected
2032q2,chained_cpiu,206.181,projected
2032q3,chained_cpiu,207.189,projected
2032q4,chained_cpiu,208.202,projected
2033q1,chained_cpiu,209.22,projected
2033q2,chained_cpiu,210.243,projected
2033q3,chained_cpiu,211.27,projected
2033q4,chained_cpiu,212.303,projected
2034q1,chained_cpiu,213.342,projected
2034q2,chained_cpiu,214.385,projected
2034q3,chained_cpiu,215.434,projected
2034q4,chained_cpiu,216.488,projected
2035q1,chained_cpiu,217.548,projected
2035q2,chained_cpiu,218.614,projected
2035q3,chained_cpiu,219.684,projected
2035q4,chained_cpiu,220.76,projected
2036q1,chained_cpiu,221.842,projected
2036q2,chained_cpiu,222.93,projected
2036q3,chained_cpiu,224.022,projected
2036q4,chained_cpiu,225.121,projected
2023q1,chained_cpiu_pct_change,3.215,actual
2023q2,chained_cpiu_pct_change,2.02,actual
2023q3,chained_cpiu_pct_change,3.687,actual
2023q4,chained_cpiu_pct_change,2.448,actual
2024q1,chained_cpiu_pct_change,3.068,actual
2024q2,chained_cpiu_pct_change,2.117,actual
2024q3,chained_cpiu_pct_change,1.473,actual
2024q4,chained_cpiu_pct_change,3.127,actual
2025q1,chained_cpiu_pct_change,2.911,actual
2025q2,chained_cpiu_pct_change,1.217,actual
2025q3,chained_cpiu_pct_change,2.762,projected
2025q4,chained_cpiu_pct_change,2.946,projected
2026q1,chained_cpiu_pct_change,2.724,projected
2026q2,chained_cpiu_pct_change,2.492,projected
2026q3,chained_cpiu_pct_change,2.444,projected
2026q4,chained_cpiu_pct_change,2.301,projected
2027q1,chained_cpiu_pct_change,2.199,projected
2027q2,chained_cpiu_pct_change,2.137,projected
2027q3,chained_cpiu_pct_change,2.119,projected
2027q4,chained_cpiu_pct_change,2.092,projected
2028q1,chained_cpiu_pct_change,2.071,projected
2028q2,chained_cpiu_pct_change,2.042,projected
2028q3,chained_cpiu_pct_change,2.022,projected
2028q4,chained_cpiu_pct_change,2.012,projected
2029q1,chained_cpiu_pct_change,2.001,projected
2029q2,chained_cpiu_pct_change,1.993,projected
2029q3,chained_cpiu_pct_change,1.986,projected
2029q4,chained_cpiu_pct_change,1.98,projected
2030q1,chained_cpiu_pct_change,1.979,projected
2030q2,chained_cpiu_pct_change,1.975,projected
2030q3,chained_cpiu_pct_change,1.972,projected
2030q4,chained_cpiu_pct_change,1.972,projected
2031q1,chained_cpiu_pct_change,1.972,projected
2031q2,chained_cpiu_pct_change,1.97,projected
2031q3,chained_cpiu_pct_change,1.97,projected
2031q4,chained_cpiu_pct_change,1.97,projected
2032q1,chained_cpiu_pct_change,1.969,projected
2032q2,chained_cpiu_pct_change,1.969,projected
2032q3,chained_cpiu_pct_change,1.969,projected
2032q4,chained_cpiu_pct_change,1.969,projected
2033q1,chained_cpiu_pct_change,1.969,projected
2033q2,chained_cpiu_pct_change,1.969,projected
2033q3,chained_cpiu_pct_change,1.97,projected
2033q4,chained_cpiu_pct_change,1.97,projected
2034q1,chained_cpiu_pct_change,1.97,projected
2034q2,chained_cpiu_pct_change,1.97,projected
2034q3,chained_cpiu_pct_change,1.971,projected
2034q4,chained_cpiu_pct_change,1.972,projected
2035q1,chained_cpiu_pct_change,1.972,projected
2035q2,chained_cpiu_pct_change,1.973,projected
2035q3,chained_cpiu_pct_change,1.973,projected
2035q4,chained_cpiu_pct_change,1.974,projected
2036q1,chained_cpiu_pct_change,1.974,projected
2036q2,chained_cpiu_pct_change,1.974,projected
2036q3,chained_cpiu_pct_change,1.975,projected
2036q4,chained_cpiu_pct_change,1.975,projected
2023q1,change_pri_inv,45.9,actual
2023q2,change_pri_inv,17.6,actual
2023q3,change_pri_inv,82.5,actual
2023q4,change_pri_inv,68.9,actual
2024q1,change_pri_inv,15.5,actual
2024q2,change_pri_inv,97.7,actual
2024q3,change_pri_inv,83.3,actual
2024q4,change_pri_inv,17.8,actual
2025q1,change_pri_inv,212.2,actual
2025q2,change_pri_inv,-45.8,actual
2025q3,change_pri_inv,-10.1,projected
2025q4,change_pri_inv,43.7,projected
2026q1,change_pri_inv,55.5,projected
2026q2,change_pri_inv,70.3,projected
2026q3,change_pri_inv,69.7,projected
2026q4,change_pri_inv,66.5,projected
2027q1,change_pri_inv,62.3,projected
2027q2,change_pri_inv,63.6,projected
2027q3,change_pri_inv,59.2,projected
2027q4,change_pri_inv,58.4,projected
2028q1,change_pri_inv,58.0,projected
2028q2,change_pri_inv,60.2,projected
2028q3,change_pri_inv,61.4,projected
2028q4,change_pri_inv,62.7,projected
2029q1,change_pri_inv,63.1,projected
2029q2,change_pri_inv,63.6,projected
2029q3,change_pri_inv,65.1,projected
2029q4,change_pri_inv,67.4,projected
2030q1,change_pri_inv,68.7,projected
2030q2,change_pri_inv,70.0,projected
2030q3,change_pri_inv,71.8,projected
2030q4,change_pri_inv,73.5,projected
2031q1,change_pri_inv,74.3,projected
2031q2,change_pri_inv,75.6,projected
2031q3,change_pri_inv,76.7,projected
2031q4,change_pri_inv,78.1,projected
2032q1,change_pri_inv,79.7,projected
2032q2,change_pri_inv,81.3,projected
2032q3,change_pri_inv,82.5,projected
2032q4,change_pri_inv,84.4,projected
2033q1,change_pri_inv,85.5,projected
2033q2,change_pri_inv,86.4,projected
2033q3,change_pri_inv,87.7,projected
2033q4,change_pri_inv,89.5,projected
2034q1,change_pri_inv,90.7,projected
2034q2,change_pri_inv,92.0,projected
2034q3,change_pri_inv,93.3,projected
2034q4,change_pri_inv,94.9,projected
2035q1,change_pri_inv,96.0,projected
2035q2,change_pri_inv,97.2,projected
2035q3,change_pri_inv,98.3,projected
2035q4,change_pri_inv,99.6,projected
2036q1,change_pri_inv,100.5,projected
2036q2,change_pri_inv,101.4,projected
2036q3,change_pri_inv,102.0,projected
2036q4,change_pri_inv,102.8,projected
2023q1,compensation,13888.3,actual
2023q2,compensation,14092.5,actual
2023q3,compensation,14334.5,actual
2023q4,compensation,14514.3,actual
2024q1,compensation,14739.7,actual
2024q2,compensation,14943.7,actual
2024q3,compensation,15115.7,actual
2024q4,compensation,15309.1,actual
2025q1,compensation,15510.9,actual
2025q2,compensation,15701.3,actual
2025q3,compensation,15868.7,projected
2025q4,compensation,16017.4,projected
2026q1,compensation,16194.9,projected
2026q2,compensation,16386.4,projected
2026q3,compensation,16575.6,projected
2026q4,compensation,16758.0,projected
2027q1,compensation,16940.7,projected
2027q2,compensation,17122.0,projected
2027q3,compensation,17303.3,projected
2027q4,compensation,17484.7,projected
2028q1,compensation,17666.3,projected
2028q2,compensation,17849.1,projected
2028q3,compensation,18031.5,projected
2028q4,compensation,18213.7,projected
2029q1,compensation,18395.6,projected
2029q2,compensation,18577.7,projected
2029q3,compensation,18761.5,projected
2029q4,compensation,18948.1,projected
2030q1,compensation,19136.1,projected
2030q2,compensation,19324.4,projected
2030q3,compensation,19513.9,projected
2030q4,compensation,19704.3,projected
2031q1,compensation,19896.2,projected
2031q2,compensation,20089.1,projected
2031q3,compensation,20282.5,projected
2031q4,compensation,20476.7,projected
2032q1,compensation,20671.9,projected
2032q2,compensation,20868.2,projected
2032q3,compensation,21065.9,projected
2032q4,compensation,21265.3,projected
2033q1,compensation,21466.1,projected
2033q2,compensation,21668.3,projected
2033q3,compensation,21871.8,projected
2033q4,compensation,22076.6,projected
2034q1,compensation,22283.0,projected
2034q2,compensation,22490.8,projected
2034q3,compensation,22700.3,projected
2034q4,compensation,22911.3,projected
2035q1,compensation,23124.1,projected
2035q2,compensation,23338.6,projected
2035q3,compensation,23555.2,projected
2035q4,compensation,23773.7,projected
2036q1,compensation,23994.2,projected
2036q2,compensation,24216.6,projected
2036q3,compensation,24440.9,projected
2036q4,compensation,24667.0,projected
2023q1,compensation_share_of_gdp,51.0,actual
2023q2,compensation_share_of_gdp,51.2,actual
2023q3,compensation_share_of_gdp,51.1,actual
2023q4,compensation_share_of_gdp,51.1,actual
2024q1,compensation_share_of_gdp,51.3,actual
2024q2,compensation_share_of_gdp,51.3,actual
2024q3,compensation_share_of_gdp,51.2,actual
2024q4,compensation_share_of_gdp,51.3,actual
2025q1,compensation_share_of_gdp,51.6,actual
2025q2,compensation_share_of_gdp,51.5,actual
2025q3,compensation_share_of_gdp,51.2,projected
2025q4,compensation_share_of_gdp,51.1,projected
2026q1,compensation_share_of_gdp,51.1,projected
2026q2,compensation_share_of_gdp,51.1,projected
2026q3,compensation_share_of_gdp,51.1,projected
2026q4,compensation_share_of_gdp,51.1,projected
2027q1,compensation_share_of_gdp,51.1,projected
2027q2,compensation_share_of_gdp,51.1,projected
2027q3,compensation_share_of_gdp,51.2,projected
2027q4,compensation_share_of_gdp,51.2,projected
2028q1,compensation_share_of_gdp,51.2,projected
2028q2,compensation_share_of_gdp,51.2,projected
2028q3,compensation_share_of_gdp,51.3,projected
2028q4,compensation_share_of_gdp,51.3,projected
2029q1,compensation_share_of_gdp,51.3,projected
2029q2,compensation_share_of_gdp,51.4,projected
2029q3,compensation_share_of_gdp,51.4,projected
2029q4,compensation_share_of_gdp,51.4,projected
2030q1,compensation_share_of_gdp,51.4,projected
2030q2,compensation_share_of_gdp,51.4,projected
2030q3,compensation_share_of_gdp,51.5,projected
2030q4,compensation_share_of_gdp,51.5,projected
2031q1,compensation_share_of_gdp,51.5,projected
2031q2,compensation_share_of_gdp,51.5,projected
2031q3,compensation_share_of_gdp,51.5,projected
2031q4,compensation_share_of_gdp,51.6,projected
2032q1,compensation_share_of_gdp,51.6,projected
2032q2,compensation_share_of_gdp,51.6,projected
2032q3,compensation_share_of_gdp,51.6,projected
2032q4,compensation_share_of_gdp,51.6,projected
2033q1,compensation_share_of_gdp,51.6,projected
2033q2,compensation_share_of_gdp,51.6,projected
2033q3,compensation_share_of_gdp,51.6,projected
2033q4,compensation_share_of_gdp,51.6,projected
2034q1,compensation_share_of_gdp,51.6,projected
2034q2,compensation_share_of_gdp,51.6,projected
2034q3,compensation_share_of_gdp,51.6,projected
2034q4,compensation_share_of_gdp,51.6,projected
2035q1,compensation_share_of_gdp,51.6,projected
2035q2,compensation_share_of_gdp,51.6,projected
2035q3,compensation_share_of_gdp,51.6,projected
2035q4,compensation_share_of_gdp,51.6,projected
2036q1,compensation_share_of_gdp,51.6,projected
2036q2,compensation_share_of_gdp,51.6,projected
2036q3,compensation_share_of_gdp,51.6,projected
2036q4,compensation_share_of_gdp,51.6,projected
2023q1,core_cpiu,303.968,actual
2023q2,core_cpiu,307.468,actual
2023q3,core_cpiu,309.74,actual
2023q4,core_cpiu,312.345,actual
2024q1,core_cpiu,315.568,actual
2024q2,core_cpiu,317.997,actual
2024q3,core_cpiu,319.869,actual
2024q4,core_cpiu,322.534,actual
2025q1,core_cpiu,325.291,actual
2025q2,core_cpiu,326.961,actual
2025q3,core_cpiu,329.663,projected
2025q4,core_cpiu,332.442,projected
2026q1,core_cpiu,335.297,projected
2026q2,core_cpiu,337.785,projected
2026q3,core_cpiu,340.134,projected
2026q4,core_cpiu,342.357,projected
2027q1,core_cpiu,344.506,projected
2027q2,core_cpiu,346.594,projected
2027q3,core_cpiu,348.673,projected
2027q4,core_cpiu,350.733,projected
2028q1,core_cpiu,352.78,projected
2028q2,core_cpiu,354.814,projected
2028q3,core_cpiu,356.837,projected
2028q4,core_cpiu,358.859,projected
2029q1,core_cpiu,360.882,projected
2029q2,core_cpiu,362.91,projected
2029q3,core_cpiu,364.944,projected
2029q4,core_cpiu,366.986,projected
2030q1,core_cpiu,369.04,projected
2030q2,core_cpiu,371.107,projected
2030q3,core_cpiu,373.186,projected
2030q4,core_cpiu,375.277,projected
2031q1,core_cpiu,377.381,projected
2031q2,core_cpiu,379.497,projected
2031q3,core_cpiu,381.625,projected
2031q4,core_cpiu,383.767,projected
2032q1,core_cpiu,385.921,projected
2032q2,core_cpiu,388.087,projected
2032q3,core_cpiu,390.266,projected
2032q4,core_cpiu,392.458,projected
2033q1,core_cpiu,394.662,projected
2033q2,core_cpiu,396.879,projected
2033q3,core_cpiu,399.109,projected
2033q4,core_cpiu,401.352,projected
2034q1,core_cpiu,403.608,projected
2034q2,core_cpiu,405.876,projected
2034q3,core_cpiu,408.158,projected
2034q4,core_cpiu,410.453,projected
2035q1,core_cpiu,412.76,projected
2035q2,core_cpiu,415.081,projected
2035q3,core_cpiu,417.415,projected
2035q4,core_cpiu,419.762,projected
2036q1,core_cpiu,422.123,projected
2036q2,core_cpiu,424.497,projected
2036q3,core_cpiu,426.885,projected
2036q4,core_cpiu,429.286,projected
2023q1,core_cpiu_pct_change,4.869,actual
2023q2,core_cpiu_pct_change,4.685,actual
2023q3,core_cpiu_pct_change,2.989,actual
2023q4,core_cpiu_pct_change,3.406,actual
2024q1,core_cpiu_pct_change,4.192,actual
2024q2,core_cpiu_pct_change,3.114,actual
2024q3,core_cpiu_pct_change,2.375,actual
2024q4,core_cpiu_pct_change,3.374,actual
2025q1,core_cpiu_pct_change,3.462,actual
2025q2,core_cpiu_pct_change,2.069,actual
2025q3,core_cpiu_pct_change,3.347,projected
2025q4,core_cpiu_pct_change,3.414,projected
2026q1,core_cpiu_pct_change,3.48,projected
2026q2,core_cpiu_pct_change,3.0,projected
2026q3,core_cpiu_pct_change,2.81,projected
2026q4,core_cpiu_pct_change,2.64,projected
2027q1,core_cpiu_pct_change,2.534,projected
2027q2,core_cpiu_pct_change,2.446,projected
2027q3,core_cpiu_pct_change,2.42,projected
2027q4,core_cpiu_pct_change,2.383,projected
2028q1,core_cpiu_pct_change,2.355,projected
2028q2,core_cpiu_pct_change,2.326,projected
2028q3,core_cpiu_pct_change,2.299,projected
2028q4,core_cpiu_pct_change,2.286,projected
2029q1,core_cpiu_pct_change,2.274,projected
2029q2,core_cpiu_pct_change,2.266,projected
2029q3,core_cpiu_pct_change,2.261,projected
2029q4,core_cpiu_pct_change,2.256,projected
2030q1,core_cpiu_pct_change,2.257,projected
2030q2,core_cpiu_pct_change,2.258,projected
2030q3,core_cpiu_pct_change,2.259,projected
2030q4,core_cpiu_pct_change,2.26,projected
2031q1,core_cpiu_pct_change,2.261,projected
2031q2,core_cpiu_pct_change,2.261,projected
2031q3,core_cpiu_pct_change,2.262,projected
2031q4,core_cpiu_pct_change,2.263,projected
2032q1,core_cpiu_pct_change,2.263,projected
2032q2,core_cpiu_pct_change,2.264,projected
2032q3,core_cpiu_pct_change,2.264,projected
2032q4,core_cpiu_pct_change,2.265,projected
2033q1,core_cpiu_pct_change,2.265,projected
2033q2,core_cpiu_pct_change,2.266,projected
2033q3,core_cpiu_pct_change,2.266,projected
2033q4,core_cpiu_pct_change,2.266,projected
2034q1,core_cpiu_pct_change,2.267,projected
2034q2,core_cpiu_pct_change,2.267,projected
2034q3,core_cpiu_pct_change,2.267,projected
2034q4,core_cpiu_pct_change,2.267,projected
2035q1,core_cpiu_pct_change,2.267,projected
2035q2,core_cpiu_pct_change,2.268,projected
2035q3,core_cpiu_pct_change,2.268,projected
2035q4,core_cpiu_pct_change,2.268,projected
2036q1,core_cpiu_pct_change,2.268,projected
2036q2,core_cpiu_pct_change,2.268,projected
2036q3,core_cpiu_pct_change,2.268,projected
2036q4,core_cpiu_pct_change,2.268,projected
2023q1,core_pce_price_index,117.917,actual
2023q2,core_pce_price_index,119.069,actual
2023q3,core_pce_price_index,119.768,actual
2023q4,core_pce_price_index,120.403,actual
2024q1,core_pce_price_index,121.588,actual
2024q2,core_pce_price_index,122.454,actual
2024q3,core_pce_price_index,123.168,actual
2024q4,core_pce_price_index,123.997,actual
2025q1,core_pce_price_index,125.0,actual
2025q2,core_pce_price_index,125.804,actual
2025q3,core_pce_price_index,126.691,projected
2025q4,core_pce_price_index,127.588,projected
2026q1,core_pce_price_index,128.59,projected
2026q2,core_pce_price_index,129.51,projected
2026q3,core_pce_price_index,130.364,projected
2026q4,core_pce_price_index,131.164,projected
2027q1,core_pce_price_index,131.946,projected
2027q2,core_pce_price_index,132.712,projected
2027q3,core_pce_price_index,133.465,projected
2027q4,core_pce_price_index,134.207,projected
2028q1,core_pce_price_index,134.94,projected
2028q2,core_pce_price_index,135.666,projected
2028q3,core_pce_price_index,136.386,projected
2028q4,core_pce_price_index,137.102,projected
2029q1,core_pce_price_index,137.814,projected
2029q2,core_pce_price_index,138.523,projected
2029q3,core_pce_price_index,139.23,projected
2029q4,core_pce_price_index,139.937,projected
2030q1,core_pce_price_index,140.642,projected
2030q2,core_pce_price_index,141.348,projected
2030q3,core_pce_price_index,142.054,projected
2030q4,core_pce_price_index,142.761,projected
2031q1,core_pce_price_index,143.47,projected
2031q2,core_pce_price_index,144.18,projected
2031q3,core_pce_price_index,144.892,projected
2031q4,core_pce_price_index,145.605,projected
2032q1,core_pce_price_index,146.321,projected
2032q2,core_pce_price_index,147.04,projected
2032q3,core_pce_price_index,147.761,projected
2032q4,core_pce_price_index,148.485,projected
2033q1,core_pce_price_index,149.212,projected
2033q2,core_pce_price_index,149.941,projected
2033q3,core_pce_price_index,150.674,projected
2033q4,core_pce_price_index,151.41,projected
2034q1,core_pce_price_index,152.149,projected
2034q2,core_pce_price_index,152.891,projected
2034q3,core_pce_price_index,153.637,projected
2034q4,core_pce_price_index,154.386,projected
2035q1,core_pce_price_index,155.138,projected
2035q2,core_pce_price_index,155.894,projected
2035q3,core_pce_price_index,156.653,projected
2035q4,core_pce_price_index,157.416,projected
2036q1,core_pce_price_index,158.183,projected
2036q2,core_pce_price_index,158.953,projected
2036q3,core_pce_price_index,159.727,projected
2036q4,core_pce_price_index,160.504,projected
2023q1,core_pce_price_index_pct_change,4.72,actual
2023q2,core_pce_price_index_pct_change,3.965,actual
2023q3,core_pce_price_index_pct_change,2.368,actual
2023q4,core_pce_price_index_pct_change,2.137,actual
2024q1,core_pce_price_index_pct_change,3.995,actual
2024q2,core_pce_price_index_pct_change,2.879,actual
2024q3,core_pce_price_index_pct_change,2.352,actual
2024q4,core_pce_price_index_pct_change,2.719,actual
2025q1,core_pce_price_index_pct_change,3.275,actual
2025q2,core_pce_price_index_pct_change,2.597,actual
2025q3,core_pce_price_index_pct_change,2.852,projected
2025q4,core_pce_price_index_pct_change,2.861,projected
2026q1,core_pce_price_index_pct_change,3.177,projected
2026q2,core_pce_price_index_pct_change,2.895,projected
2026q3,core_pce_price_index_pct_change,2.663,projected
2026q4,core_pce_price_index_pct_change,2.477,projected
2027q1,core_pce_price_index_pct_change,2.404,projected
2027q2,core_pce_price_index_pct_change,2.342,projected
2027q3,core_pce_price_index_pct_change,2.288,projected
2027q4,core_pce_price_index_pct_change,2.242,projected
2028q1,core_pce_price_index_pct_change,2.203,projected
2028q2,core_pce_price_index_pct_change,2.169,projected
2028q3,core_pce_price_index_pct_change,2.14,projected
2028q4,core_pce_price_index_pct_change,2.114,projected
2029q1,core_pce_price_index_pct_change,2.093,projected
2029q2,core_pce_price_index_pct_change,2.074,projected
2029q3,core_pce_price_index_pct_change,2.058,projected
2029q4,core_pce_price_index_pct_change,2.044,projected
2030q1,core_pce_price_index_pct_change,2.032,projected
2030q2,core_pce_price_index_pct_change,2.022,projected
2030q3,core_pce_price_index_pct_change,2.013,projected
2030q4,core_pce_price_index_pct_change,2.006,projected
2031q1,core_pce_price_index_pct_change,1.999,projected
2031q2,core_pce_price_index_pct_change,1.994,projected
2031q3,core_pce_price_index_pct_change,1.989,projected
2031q4,core_pce_price_index_pct_change,1.985,projected
2032q1,core_pce_price_index_pct_change,1.981,projected
2032q2,core_pce_price_index_pct_change,1.978,projected
2032q3,core_pce_price_index_pct_change,1.976,projected
2032q4,core_pce_price_index_pct_change,1.973,projected
2033q1,core_pce_price_index_pct_change,1.972,projected
2033q2,core_pce_price_index_pct_change,1.97,projected
2033q3,core_pce_price_index_pct_change,1.968,projected
2033q4,core_pce_price_index_pct_change,1.967,projected
2034q1,core_pce_price_index_pct_change,1.966,projected
2034q2,core_pce_price_index_pct_change,1.965,projected
2034q3,core_pce_price_index_pct_change,1.964,projected
2034q4,core_pce_price_index_pct_change,1.964,projected
2035q1,core_pce_price_index_pct_change,1.963,projected
2035q2,core_pce_price_index_pct_change,1.963,projected
2035q3,core_pce_price_index_pct_change,1.962,projected
2035q4,core_pce_price_index_pct_change,1.962,projected
2036q1,core_pce_price_index_pct_change,1.962,projected
2036q2,core_pce_price_index_pct_change,1.961,projected
2036q3,core_pce_price_index_pct_change,1.961,projected
2036q4,core_pce_price_index_pct_change,1.961,projected
2023q1,corp_profits_adj,3524.3,actual
2023q2,corp_profits_adj,3532.5,actual
2023q3,corp_profits_adj,3648.8,actual
2023q4,corp_profits_adj,3763.7,actual
