quarter,plot_year,inflation_pct,real_growth_pct,short_rate_pct,long_rate_pct,debt_gdp_pct,no_fiscal_debt_gdp_pct,interest_gdp_pct,primary_balance_gdp_pct,primary_balance_adjustment_gdp_pct
2039Q3,2039.500000,4.889168,-1.000000,8.500000,9.000000,182.737869,182.823560,21.006587,-1.355741,0.342764
2039Q4,2039.750000,4.966876,-1.000000,8.250000,8.800000,186.113734,186.371849,19.469640,-1.021780,0.685527
2040Q1,2040.000000,5.044584,-1.000000,8.000000,8.600000,189.358106,189.876278,19.568562,-0.662382,1.028291
2040Q2,2040.250000,5.122292,-1.000000,7.750000,8.400000,192.462465,193.329081,19.633151,-0.302836,1.371054
2040Q3,2040.500000,5.200000,-1.000000,7.500000,8.200000,195.420047,196.724093,19.669781,0.056849,1.713818
2040Q4,2040.750000,5.112500,-0.625000,7.250000,7.950000,198.127110,199.957293,19.663179,0.362544,2.056582
2041Q1,2041.000000,5.025000,-0.250000,7.000000,7.700000,200.552621,202.997290,19.591426,0.724897,2.399345
2041Q2,2041.250000,4.937500,0.125000,6.750000,7.450000,202.682308,205.829163,19.462063,1.088231,2.742109
2041Q3,2041.500000,4.850000,0.500000,6.500000,7.200000,204.506282,208.442059,19.289304,1.452498,3.084873
2041Q4,2041.750000,4.762500,0.875000,6.250000,6.975000,206.038230,210.848394,19.063461,1.716864,3.427636
2042Q1,2042.000000,4.675000,1.250000,6.000000,6.750000,207.249570,213.018026,18.816532,2.084302,3.770400
2042Q2,2042.250000,4.587500,1.625000,5.750000,6.525000,208.129939,214.938740,18.514901,2.452573,4.113163
2042Q3,2042.500000,4.500000,2.000000,5.500000,6.300000,208.674074,216.603135,18.175510,2.821621,4.455927
2042Q4,2042.750000,4.437500,2.062500,5.412500,6.212500,209.039927,218.172414,17.814047,3.135897,4.798691
2043Q1,2043.000000,4.375000,2.125000,5.325000,6.125000,209.238342,219.657570,17.539345,3.504991,5.141454
2043Q2,2043.250000,4.312500,2.187500,5.237500,6.037500,209.266061,221.054835,17.240453,3.873673,5.484218
2043Q3,2043.500000,4.250000,2.250000,5.150000,5.950000,209.209441,222.364321,16.932854,3.899186,5.484218
2043Q4,2043.750000,4.187500,2.312500,5.062500,5.862500,209.084958,223.602079,16.606669,3.845699,5.484218
2044Q1,2044.000000,4.125000,2.375000,4.975000,5.775000,208.881297,224.756372,16.310218,3.871664,5.484218
2044Q2,2044.250000,4.062500,2.437500,4.887500,5.687500,208.595690,225.824009,15.997119,3.897221,5.484218
2044Q3,2044.500000,4.000000,2.500000,4.800000,5.600000,208.227312,226.803742,15.674959,3.922377,5.484218
2044Q4,2044.750000,3.937500,2.437500,4.781250,5.581250,207.852953,227.777672,15.337426,3.880339,5.484218
2045Q1,2045.000000,3.875000,2.375000,4.762500,5.562500,207.467949,228.742489,15.048019,3.904807,5.484218
2045Q2,2045.250000,3.812500,2.312500,4.743750,5.543750,207.068920,229.695546,14.744282,3.928429,5.484218
